x	y
0.101	11.364
0.210	15.004
0.319	19.858
0.427	22.689
0.536	27.138
0.645	31.183
0.753	35.632
0.862	37.250
0.971	40.081
1.043	42.103
1.079	43.316
1.152	44.530
1.188	45.743
1.260	46.552
1.296	48.170
1.369	49.788
1.441	51.405
1.514	53.428
1.659	55.450
1.840	59.090
2.021	63.539
2.166	65.966
2.347	67.988
2.528	71.628
2.637	73.246
2.709	74.864
2.854	76.077
2.962	77.695
3.071	79.313
3.180	80.931
3.288	81.740
3.397	82.953
3.506	84.975
3.614	86.593
3.723	87.402
3.795	87.807
3.904	88.616
4.049	90.233
4.158	91.042
4.303	92.256
4.484	93.873
4.665	95.087
4.810	96.300
4.954	97.514
5.136	98.727
5.317	99.940
5.498	100.749
5.715	101.963
5.787	102.367
5.969	103.176
6.150	103.580
6.294	104.794
6.476	104.794
6.584	105.603
6.693	106.412
6.802	106.816
6.946	107.221
7.055	107.625
7.200	107.625
7.345	107.625
7.490	107.625
7.635	107.625
7.852	108.434
7.997	108.434
8.178	108.838
8.286	108.838
8.431	109.243
8.576	109.243
8.721	110.052
8.902	110.052
9.047	110.052
9.156	110.052
9.301	110.052
9.445	110.052
9.663	110.052
9.844	110.456
10.025	110.456
10.170	110.456
10.351	110.456
10.532	110.052
10.713	109.243
10.894	109.243
11.111	109.243
11.292	109.243
11.510	109.243
11.655	109.243
11.800	108.838
11.981	107.625
12.162	107.625
12.415	107.625
12.633	107.625
12.850	107.221
13.031	106.007
13.140	106.007
13.321	106.007
13.502	106.007
13.647	106.007
13.791	105.198
13.936	104.794
14.117	104.794
14.335	104.794
14.480	103.580
14.661	103.176
14.806	103.176
14.950	103.176
15.204	102.367
15.457	102.367
15.747	101.963
16.001	101.154
16.218	100.749
16.327	100.345
16.435	99.536
16.653	99.131
16.870	98.727
17.087	98.322
17.341	97.918
17.522	97.109
17.667	96.705
17.775	96.705
17.956	96.705
18.138	95.896
18.282	95.087
18.500	95.087
18.717	95.087
18.898	93.873
19.079	93.873
19.224	93.873
19.333	92.256
19.514	92.256
19.767	92.256
19.912	92.256
20.093	91.042
20.274	91.042
20.492	91.042
20.673	90.638
20.781	89.829
20.890	89.424
21.071	89.424
21.252	89.020
21.433	88.616
21.651	88.211
21.868	87.807
22.049	87.402
22.230	86.998
22.375	86.998
22.520	86.593
22.701	85.784
22.882	85.380
23.099	85.380
23.353	84.571
23.570	84.166
23.787	83.762
23.896	83.358
24.005	82.549
24.258	82.549
24.548	82.549
24.838	81.335
25.127	81.335
25.345	80.931
25.598	79.717
25.816	79.717
25.997	79.717
26.142	79.313
26.359	78.504
26.649	78.100
26.902	78.100
27.119	77.291
27.373	76.886
27.626	76.886
27.844	75.673
27.989	75.673
28.170	75.673
28.387	75.673
28.604	75.268
28.930	74.460
29.220	74.055
29.474	74.055
29.727	73.246
29.944	72.437
