x	y
0.388	12.355
0.559	17.810
0.678	19.415
0.833	22.000
0.935	23.908
1.084	26.797
1.225	29.043
1.383	30.000
1.482	32.252
1.650	33.536
1.772	35.141
1.909	36.745
2.029	38.029
2.189	38.992
2.319	40.597
2.447	41.239
2.576	41.880
2.747	42.843
2.866	43.485
3.004	43.806
3.124	44.448
3.270	44.448
3.413	45.090
3.540	45.411
3.671	45.732
3.830	46.373
3.960	46.694
4.128	46.694
4.250	47.015
4.373	47.657
4.508	47.978
4.651	47.978
4.765	47.978
4.931	48.941
5.055	49.262
5.185	49.904
5.344	49.583
5.446	49.583
5.634	49.583
5.725	49.300
5.892	49.300
6.015	49.000
6.181	49.262
6.272	49.400
6.407	49.583
6.562	50.000
6.664	50.546
6.819	51.000
6.986	52.150
7.077	52.600
7.211	52.792
7.366	53.300
7.501	53.434
7.656	53.600
7.790	53.755
7.913	54.000
8.048	54.076
8.139	54.000
8.305	54.076
8.461	54.000
8.595	54.076
8.750	53.800
8.853	53.755
9.040	54.100
9.142	54.076
9.297	55.000
9.432	55.039
9.555	55.000
9.689	54.718
9.845	55.000
9.979	55.039
10.102	55.000
10.204	55.680
10.392	55.800
10.494	56.001
10.649	56.200
10.816	56.322
10.907	56.300
11.041	56.322
11.229	56.400
11.331	56.643
11.486	56.600
11.621	56.643
11.744	56.400
11.878	56.322
12.001	56.700
12.136	57.285
12.291	57.400
12.425	57.606
12.548	57.500
12.715	57.285
12.806	57.400
12.972	57.606
13.127	57.600
13.230	58.248
13.385	57.700
