x	y
0.068	3.354
0.210	5.876
0.446	9.239
0.635	13.443
0.871	18.067
0.966	22.270
1.013	27.315
1.155	34.461
1.296	42.448
1.769	57.161
1.816	64.727
2.288	80.281
2.572	89.949
2.572	92.472
2.619	95.835
2.666	107.605
2.714	120.216
2.903	132.407
2.950	141.655
3.044	153.845
3.139	158.049
3.233	162.253
3.457	164.354
3.800	169.399
4.131	175.284
4.475	180.749
4.754	182.010
5.115	182.010
5.377	180.749
5.784	179.067
6.068	177.806
6.399	175.704
6.729	174.023
7.013	171.501
7.391	166.877
7.674	164.775
8.052	160.151
8.335	158.049
8.666	155.947
8.997	152.164
9.328	150.062
9.658	146.699
9.989	145.858
10.320	143.756
10.603	142.495
10.981	140.393
11.264	138.712
11.595	134.929
11.926	133.247
12.257	131.145
12.587	129.464
12.918	128.203
13.249	125.681
13.532	124.420
13.910	122.738
14.241	121.057
14.524	119.375
14.855	118.534
15.186	116.853
15.516	115.592
15.847	114.331
16.178	113.070
16.508	112.649
16.839	111.388
17.170	110.127
17.453	109.286
17.784	108.446
18.115	106.344
18.445	105.503
18.776	104.662
19.107	103.822
19.437	102.981
19.721	102.140
20.099	101.299
20.382	100.459
20.760	99.618
21.044	98.777
21.374	97.936
21.705	97.516
22.036	97.096
22.366	96.675
22.697	96.255
23.028	95.414
23.311	94.994
23.689	94.153
23.973	93.312
24.303	92.892
24.634	92.472
24.965	91.631
25.295	91.211
25.626	90.790
25.957	89.949
26.288	89.529
26.618	89.109
26.902	88.268
27.232	87.848
27.563	87.427
27.894	87.007
28.224	86.586
28.555	86.166
28.886	85.746
29.217	85.325
29.547	84.485
29.831	84.064
30.161	83.644
30.492	83.224
30.823	83.224
31.154	82.803
31.484	82.803
