x	y
0.032	0.000
0.362	0.000
0.774	0.000
1.152	0.000
1.599	0.000
2.017	0.000
2.368	0.000
2.837	0.000
3.206	0.000
3.584	0.000
3.992	0.000
4.368	0.000
4.774	0.000
5.147	0.000
5.584	0.000
5.936	4.457
6.468	8.102
6.801	10.287
7.179	12.519
7.540	14.919
8.017	17.109
8.422	18.473
8.778	20.599
9.233	22.070
9.611	23.186
9.990	24.675
10.428	26.279
10.800	26.784
11.233	27.652
11.611	28.520
12.078	30.066
12.395	31.621
12.800	33.606
13.151	35.747
13.584	36.334
13.990	36.955
14.471	37.262
14.854	37.451
15.179	37.823
15.709	38.019
16.039	38.019
16.395	37.327
16.827	37.203
17.206	37.327
17.689	38.019
18.070	38.443
18.449	39.063
18.927	39.912
19.260	40.428
19.692	41.668
20.082	42.563
20.503	43.528
20.881	44.273
21.320	44.457
21.611	44.645
22.124	44.397
22.475	44.078
22.827	43.901
23.300	43.321
23.638	43.280
24.097	43.777
24.538	44.835
24.908	45.761
25.313	47.002
25.776	48.622
26.070	48.986
26.518	49.758
26.908	50.351
27.259	50.723
27.756	50.895
28.168	51.273
28.530	51.343
28.881	51.343
29.324	51.273
29.746	50.847
30.178	50.599
30.561	50.516
30.935	50.475
31.313	50.475
31.716	50.137
32.124	50.599
32.529	50.599
32.954	50.516
33.340	50.475
33.691	50.475
34.124	50.723
34.556	50.971
34.962	51.467
35.340	51.963
35.745	52.211
36.151	52.459
36.556	52.335
36.935	52.707
37.394	52.707
37.772	52.831
