x	y
0.657	1.183
0.816	12.477
1.333	90.458
1.452	93.685
1.531	99.600
1.611	102.289
1.721	106.219
1.810	109.281
1.887	111.944
1.969	115.734
2.048	117.348
2.131	120.965
2.247	125.415
2.311	126.690
2.446	129.717
2.485	130.793
2.567	133.108
2.644	136.171
2.734	137.445
2.843	139.936
2.926	141.782
3.003	143.690
3.080	145.946
3.170	147.160
3.280	149.616
3.349	150.629
3.400	151.767
3.516	153.058
3.605	154.446
3.678	156.070
3.757	157.683
3.849	158.956
3.952	159.824
3.996	160.372
4.144	161.732
4.194	162.523
4.298	164.161
4.375	164.681
4.473	165.750
4.516	166.069
4.592	166.826
4.708	167.804
4.811	168.844
4.910	169.515
4.964	169.885
5.041	170.406
5.144	171.079
5.228	171.666
5.298	171.967
5.400	172.487
5.506	173.279
5.567	173.528
5.644	173.875
5.705	174.355
5.811	174.396
5.904	174.893
6.003	174.916
6.063	175.430
6.170	175.263
6.182	175.430
6.272	175.436
6.381	175.968
6.413	175.957
6.503	175.957
6.619	175.968
6.682	175.957
6.785	175.957
6.849	175.957
6.897	175.968
7.029	175.957
7.175	175.968
7.208	175.957
7.295	175.968
7.375	175.783
7.493	175.430
7.541	175.436
7.652	175.430
7.708	175.436
7.798	175.263
7.891	174.893
7.977	174.743
8.050	174.893
8.129	174.893
8.221	174.569
8.311	174.049
8.408	173.279
8.503	173.181
8.567	172.741
8.657	172.487
8.747	172.314
8.845	172.204
8.964	171.666
9.029	171.447
9.123	171.128
9.183	170.753
9.285	170.406
9.322	170.052
9.413	169.885
9.520	170.052
9.631	169.365
9.695	169.191
9.759	169.515
9.878	168.977
9.952	168.324
10.037	167.901
10.118	167.457
10.196	166.826
10.298	166.416
10.355	165.750
10.465	165.548
10.554	165.212
10.644	164.854
10.753	164.137
10.759	164.161
10.832	164.137
10.926	163.467
10.990	163.120
11.067	162.946
11.150	162.523
11.234	162.079
11.311	161.732
11.413	161.558
11.508	160.372
11.627	159.834
11.683	159.477
11.772	159.477
11.849	158.609
11.926	158.436
11.985	158.221
11.990	158.212
12.104	157.683
12.170	157.221
12.260	156.701
12.342	156.070
12.422	155.532
12.516	155.313
12.606	154.446
12.708	154.272
12.760	154.272
12.819	153.918
12.926	153.578
13.067	152.832
13.137	152.305
13.195	151.844
13.285	151.497
13.362	151.150
13.455	150.692
13.575	150.154
13.606	149.762
13.734	149.762
13.773	149.078
13.901	148.374
13.952	148.027
14.042	147.854
14.131	147.465
14.195	146.986
14.324	146.639
14.409	146.389
14.465	145.772
14.580	145.078
14.687	144.776
14.760	144.211
14.846	143.700
14.886	143.700
14.990	143.343
15.085	142.625
15.204	142.087
15.260	141.609
15.337	141.262
15.482	141.011
15.529	140.741
15.562	140.473
15.683	140.394
15.772	139.353
15.880	138.322
15.959	137.784
16.029	138.139
16.158	137.247
16.196	137.272
16.317	136.709
16.397	136.171
16.465	136.231
16.554	136.057
16.635	135.095
16.721	135.017
16.834	134.020
16.913	133.482
16.953	134.020
17.072	133.482
17.152	133.482
17.192	132.944
17.351	132.406
17.390	132.406
17.470	131.869
17.555	131.547
17.734	131.200
17.748	130.793
17.824	130.680
17.907	130.255
18.026	129.717
18.093	129.639
18.157	129.639
18.265	129.180
18.349	128.945
18.401	128.771
18.503	128.642
18.619	128.251
18.683	127.904
18.821	127.566
18.861	127.566
18.875	127.384
18.939	127.384
19.099	127.028
