x	y
0.022	3.000
0.067	4.000
0.111	15.000
0.156	24.000
0.200	26.180
0.245	27.000
0.289	28.000
0.333	32.000
0.378	39.000
0.422	41.000
0.467	43.000
0.511	46.000
0.556	46.000
0.600	47.000
0.644	47.000
0.689	48.000
0.733	49.000
0.778	51.000
0.822	52.830
0.867	54.000
0.911	55.000
0.956	56.000
1.000	57.000
1.044	57.000
1.089	58.000
1.133	58.000
1.174	59.000
1.211	59.000
1.339	60.000
1.673	61.000
2.008	60.000
2.343	59.000
2.677	57.000
3.012	55.000
3.346	53.000
3.681	52.000
4.016	50.000
4.350	49.000
4.685	47.000
5.020	46.000
5.354	45.000
5.689	44.000
6.024	43.000
6.358	42.000
6.693	41.000
7.028	41.000
7.362	40.000
7.697	40.000
8.366	39.000
8.701	38.000
9.036	37.000
9.370	37.000
9.705	36.000
10.040	35.000
