x	y
0.151	274.311
0.19	278.333
0.27	283.025
0.309	288.388
0.349	293.081
0.548	295.762
0.707	297.773
0.826	295.762
1.025	293.751
1.184	291.07
1.343	288.388
1.462	286.377
1.541	283.025
1.661	279.673
1.82	276.992
1.899	275.651
2.018	272.97
2.138	270.959
2.257	268.948
2.336	266.937
2.495	264.255
2.614	261.574
2.734	260.233
2.853	257.552
3.091	252.859
3.211	250.848
3.37	248.167
3.489	245.485
3.687	242.804
3.846	241.463
4.005	238.781
4.204	236.1
4.284	234.089
4.443	232.748
4.522	231.408
4.602	230.067
4.721	228.726
4.84	226.715
4.999	225.374
5.118	223.363
5.237	222.022
5.357	220.011
5.476	219.341
5.635	217.33
6.787	205.263
7.94	194.538
9.053	185.823
10.205	177.779
11.318	171.075
12.47	164.372
13.583	159.009
14.736	153.646
15.848	148.953
17.001	144.931
18.153	140.909
19.306	136.887
20.419	133.535
21.452	130.854
22.485	128.172
23.479	126.161
24.472	123.48
25.505	120.798
26.539	119.457
27.572	117.446
28.566	114.765
29.639	113.424
30.632	111.413
31.665	110.072
32.699	108.061
33.692	106.721
34.725	105.38
