x	y
0.291	39.703
0.686	71.580
1.041	80.213
1.357	84.197
1.752	93.163
2.107	97.811
2.462	99.140
2.778	100.136
3.173	104.120
3.804	115.078
4.554	120.391
5.146	126.035
5.423	126.368
5.580	125.703
5.817	125.039
6.094	127.364
6.370	128.692
6.646	127.032
7.001	127.032
7.238	126.700
7.554	127.032
7.830	128.692
7.988	127.364
8.264	129.356
8.580	129.688
9.014	128.692
9.370	128.692
9.843	127.696
10.356	128.360
10.712	130.352
11.146	131.016
11.540	131.016
11.817	131.680
12.014	132.012
12.172	133.341
12.409	132.676
12.685	133.008
12.843	134.337
13.080	134.337
13.198	135.665
13.396	134.337
13.514	136.329
13.830	138.985
14.027	141.642
14.224	144.298
14.422	142.306
14.698	140.314
15.014	138.321
15.172	141.642
15.330	140.314
15.487	138.985
15.724	140.314
15.882	141.642
16.079	138.321
16.237	135.333
16.395	136.329
16.790	135.001
17.145	134.005
17.343	135.333
17.461	135.001
17.777	138.653
17.895	136.993
18.014	138.985
