x	y
0.055	2.182
0.291	35.386
0.686	49.997
1.041	56.305
1.357	62.946
1.752	66.599
2.107	67.927
2.462	69.255
2.778	70.584
3.173	73.572
3.804	75.232
4.554	69.919
5.146	66.931
5.423	64.607
5.580	64.275
5.817	63.278
6.094	62.282
6.370	61.618
6.646	60.954
7.001	59.626
7.238	58.962
7.554	57.966
7.830	56.637
7.988	55.973
8.264	54.977
8.580	53.981
9.014	52.653
9.370	51.989
9.843	50.993
10.356	49.000
10.712	48.336
11.146	47.008
11.540	46.344
11.817	45.680
12.014	45.348
12.172	45.016
12.409	44.352
12.685	44.020
12.843	43.356
13.080	43.024
13.198	42.691
13.396	42.359
13.514	42.027
13.830	41.695
14.027	41.363
14.224	41.031
14.422	40.699
14.698	40.367
15.014	40.035
15.172	39.703
15.330	39.703
15.487	39.371
15.724	39.039
15.882	38.707
16.079	38.375
16.237	38.375
16.395	38.375
16.790	37.711
17.145	37.379
17.343	37.047
17.461	37.047
17.777	36.715
17.895	36.051
18.014	36.051
