x	y
0.447	0.00
1.296	0.00
1.673	0.00
2.427	0.00
2.945	0.00
3.318	0.00
3.551	0.00
3.921	0.00
4.240	6.166
4.496	10.226
4.884	13.660
5.142	15.390
5.595	16.543
5.854	18.849
6.112	21.731
6.500	25.190
6.823	28.073
7.147	28.650
7.405	29.226
7.793	29.226
8.116	29.226
8.437	28.650
8.760	28.030
9.087	26.222
9.410	25.096
9.798	22.790
10.060	21.637
10.452	20.484
10.711	19.331
11.034	22.238
11.358	23.391
12.044	24.222
12.622	24.756
13.333	26.512
13.920	28.267
14.694	31.199
15.212	33.505
16.509	39.245
17.544	40.975
17.867	40.398
18.190	40.398
18.574	39.941
18.833	39.364
19.156	39.364
19.540	39.941
19.858	40.493
20.445	41.094
20.848	41.132
21.106	41.668
21.497	42.269
21.753	42.889
22.141	42.929
22.787	43.531
23.434	43.506
24.658	43.549
25.304	42.972
25.692	42.396
26.080	42.396
26.792	42.396
27.086	41.871
27.214	41.938
27.597	41.938
27.985	41.362
28.631	41.362
29.281	40.785
29.604	40.249
29.927	40.292
30.253	39.716
