x	y
3.549	191.430
3.924	200.254
4.207	206.557
4.533	210.759
4.867	213.280
5.195	214.120
5.521	213.280
5.849	213.280
6.181	214.083
6.509	215.404
6.835	215.404
7.163	214.125
7.493	212.445
7.772	211.166
8.146	207.804
8.476	204.863
8.758	201.081
9.087	198.980
9.417	200.661
9.756	200.259
10.082	200.648
10.416	201.908
10.699	204.009
11.029	206.951
11.359	206.110
12.022	204.009
12.681	203.169
13.341	201.519
13.903	200.259
14.610	199.868
15.269	199.807
16.545	199.789
17.533	198.481
17.863	197.221
18.186	195.558
18.514	194.297
18.844	193.037
19.174	192.196
19.504	191.356
19.838	190.095
20.494	190.095
20.824	188.415
21.157	187.574
21.440	188.415
21.770	188.396
22.100	188.817
22.712	190.497
23.419	190.058
24.688	190.077
25.301	189.657
25.633	189.657
26.012	187.556
26.671	187.136
27.001	187.136
27.284	185.875
27.614	184.615
27.991	185.035
28.604	185.424
29.266	187.105
29.503	187.105
29.927	187.945
30.246	185.833
