x	y
0.338	20.539
0.650	25.885
0.961	28.315
1.211	38.521
1.522	66.222
1.833	99.269
2.145	129.886
2.456	149.812
2.706	167.794
3.017	181.401
3.328	192.093
3.640	200.841
3.951	207.159
4.574	213.963
5.509	213.477
6.381	215.421
7.315	211.533
8.249	200.841
9.122	200.841
9.994	204.243
10.928	205.215
11.800	203.271
12.672	200.841
13.607	199.869
14.541	199.869
15.413	199.869
16.347	198.411
17.282	194.523
18.154	191.121
19.026	190.149
19.960	188.205
20.832	189.663
21.767	190.149
22.639	190.149
23.573	189.663
24.508	187.719
25.442	186.261
26.314	185.289
27.248	187.233
28.120	185.775
29.055	185.775
