x	y
0.388	29.364
0.935	27.118
1.225	30.327
1.482	36.104
1.772	35.783
2.029	38.029
2.319	41.559
2.576	44.448
2.866	49.583
3.124	53.434
3.413	54.718
3.671	55.680
3.960	57.927
4.250	60.494
4.508	64.667
4.765	72.369
5.055	76.862
5.344	79.108
5.634	76.541
5.892	73.332
6.181	71.406
6.407	72.048
6.664	81.034
6.986	82.960
7.211	88.736
7.501	92.909
7.790	97.402
8.048	100.290
8.305	104.141
8.595	104.462
8.853	106.709
9.142	107.992
9.432	105.746
9.689	106.067
9.979	108.955
10.204	112.164
10.494	110.560
10.816	109.276
11.041	111.202
11.331	109.597
11.621	110.881
11.878	111.523
12.136	112.806
12.425	113.448
12.715	114.090
12.972	113.448
