x	y
0.121	8.859
0.248	24.797
0.383	29.718
0.490	32.910
0.611	37.340
0.759	40.788
0.881	43.980
1.015	45.944
1.136	47.908
1.391	48.890
1.660	51.083
1.875	54.275
2.143	57.729
2.371	58.712
2.546	57.975
2.626	57.484
2.732	58.147
2.866	58.392
2.999	59.129
3.120	58.638
3.255	58.392
3.389	58.392
3.644	59.374
3.873	59.374
4.008	58.627
4.156	57.891
4.384	57.154
4.546	56.417
4.653	56.172
4.882	54.944
5.016	54.453
5.270	53.962
5.391	53.717
5.566	52.734
5.720	52.298
5.868	51.561
6.016	50.825
6.352	49.362
6.526	48.607
6.648	48.384
6.742	47.881
6.877	47.402
7.146	46.156
7.630	44.672
7.764	44.427
7.885	43.936
8.020	43.416
8.127	43.416
8.276	43.387
8.382	43.142
8.503	42.896
