x	y
0.111	0.000
0.245	0.794
0.379	1.816
0.554	1.325
0.661	1.314
0.768	1.325
0.875	0.834
1.022	0.588
1.127	0.869
1.329	0.151
1.597	3.588
1.813	7.026
2.123	9.972
2.406	11.435
2.567	12.417
2.662	12.908
2.734	12.565
2.882	12.565
3.015	12.308
3.120	11.829
3.227	12.320
3.362	15.266
3.671	21.386
3.845	23.351
4.006	23.842
4.181	24.824
4.383	26.788
4.532	28.016
4.640	28.226
4.775	28.717
4.977	30.435
5.237	30.979
5.385	31.470
5.546	31.470
5.757	31.536
5.891	31.536
6.026	31.789
6.362	32.771
6.524	33.016
6.618	33.290
6.766	34.026
6.873	34.517
7.049	34.763
7.533	34.517
7.680	34.517
7.815	34.290
8.002	33.810
8.150	33.564
8.298	33.318
8.379	33.073
8.472	33.073
