x	y
0.388	0.000
0.559	0.000
0.678	0.000
0.833	0.000
0.935	1.764
1.084	4.331
1.225	6.899
1.383	6.257
1.482	5.936
1.650	5.615
1.772	6.578
1.909	7.220
2.029	8.183
2.189	9.145
2.319	10.750
2.447	11.071
2.576	12.034
2.747	11.071
2.866	11.071
3.004	10.750
3.124	11.071
3.270	10.108
3.413	8.503
3.540	8.183
3.671	8.503
3.830	8.824
3.960	10.108
4.128	11.713
4.250	13.317
4.373	14.601
4.508	16.206
4.651	17.500
4.765	17.169
4.931	14.922
5.055	13.638
5.185	13.959
5.344	13.959
5.466	13.638
5.634	12.355
5.725	13.000
5.892	12.034
6.015	13.000
6.181	13.959
6.272	13.000
6.407	12.676
6.562	13.000
6.664	11.392
6.819	13.000
6.986	17.169
7.077	19.000
7.211	20.057
7.366	21.200
7.501	21.983
7.656	22.600
7.790	23.587
7.913	24.000
8.048	24.229
8.139	24.400
8.305	24.229
8.461	23.400
8.595	23.587
8.750	23.600
8.853	23.908
9.040	24.000
9.142	26.155
9.297	26.000
9.432	26.476
9.555	26.000
9.689	27.438
9.845	29.000
9.979	30.006
10.102	30.000
10.204	30.327
10.392	30.000
10.494	30.648
10.649	32.000
10.816	33.215
10.907	33.500
11.041	34.820
11.229	36.000
11.331	37.387
11.486	38.000
11.621	38.992
11.744	39.400
11.878	40.300
12.001	41.100
12.136	42.201
12.291	43.000
12.425	44.769
12.548	44.900
12.715	45.732
12.806	45.800
12.972	46.694
13.127	46.800
13.230	47.657
13.385	48.700
