x	y
0.350	52.735
0.399	54.418
0.453	56.059
0.500	57.762
0.550	59.188
0.603	61.013
0.648	62.592
0.700	64.184
0.751	65.913
0.797	67.693
0.846	69.139
0.897	70.737
0.952	72.316
1.002	73.843
1.046	76.134
1.097	77.651
1.146	79.605
1.204	81.938
1.250	83.563
1.304	85.406
1.347	86.584
1.401	88.072
1.451	89.569
1.502	90.514
1.545	92.112
1.603	93.333
1.647	94.055
1.701	94.962
1.746	95.531
1.800	96.446
1.852	97.188
1.901	97.820
1.954	98.623
1.995	99.600
2.046	100.372
2.104	101.267
2.148	102.338
2.203	103.324
2.253	104.343
2.301	105.646
2.353	106.489
2.447	107.557
2.501	108.839
2.546	109.500
2.597	110.151
2.652	110.793
2.695	111.291
2.747	111.554
2.800	111.838
2.852	112.469
2.904	112.902
2.951	113.563
3.004	113.999
3.047	114.488
3.101	114.996
3.150	115.321
3.198	115.819
3.248	116.145
3.300	116.897
3.346	117.567
3.402	118.046
3.446	118.525
3.501	119.094
3.552	119.266
3.598	119.420
3.646	119.827
3.695	120.000
3.752	120.478
3.796	120.676
3.848	120.911
3.902	121.165
3.948	121.592
3.997	122.018
4.048	122.343
4.097	122.669
4.153	123.056
4.199	123.310
4.252	123.779
4.303	123.994
4.353	124.247
4.401	124.534
4.447	124.866
4.502	125.081
4.553	125.244
4.595	125.316
4.646	125.488
4.700	125.752
4.751	125.905
4.803	125.990
4.852	126.233
4.900	126.233
4.954	126.406
4.996	126.651
5.045	126.823
5.096	126.998
5.151	127.252
5.204	127.496
5.246	127.669
5.300	127.760
5.349	127.903
5.400	128.147
5.451	128.382
5.502	128.453
5.553	128.453
5.599	128.698
5.650	128.698
5.700	128.698
5.746	128.698
5.796	128.698
5.854	128.932
5.897	128.932
5.949	128.932
5.998	128.932
6.050	129.166
6.100	129.166
6.145	129.166
6.202	129.329
6.247	129.329
6.295	129.329
6.351	129.329
6.395	129.442
6.453	129.595
6.498	129.595
6.548	129.605
6.599	129.684
6.651	129.684
6.703	129.684
6.751	129.684
6.804	129.846
6.849	129.918
6.902	129.918
6.945	130.009
6.999	129.954
7.046	130.117
7.101	130.117
7.153	130.127
7.198	130.127
7.248	130.127
7.301	130.137
7.347	130.137
7.399	130.137
7.449	130.137
7.500	130.137
7.550	129.892
7.600	129.892
7.651	129.892
7.703	129.892
7.753	129.892
7.796	129.811
7.845	129.649
7.895	129.622
7.952	129.622
7.998	129.622
8.053	129.631
8.097	129.631
8.153	129.631
8.198	129.397
8.248	129.397
8.295	129.388
8.346	129.326
8.397	129.091
8.450	129.081
8.503	129.091
8.551	128.939
8.602	128.925
8.652	128.925
8.701	128.690
8.751	128.690
8.797	128.690
8.853	128.680
8.895	128.680
8.946	128.680
9.003	128.680
9.048	128.446
9.095	128.446
9.146	128.446
9.198	128.222
9.248	128.101
9.299	128.101
9.350	128.101
9.395	128.091
9.448	128.101
9.496	127.856
9.551	127.866
9.601	127.681
9.654	127.538
9.700	127.538
9.745	127.294
9.795	127.251
9.846	127.251
9.902	127.170
9.946	127.170
9.996	127.170
10.051	127.098
10.100	126.945
10.150	126.945
10.203	126.720
10.254	126.496
10.295	126.435
10.350	126.446
10.403	126.456
10.449	126.446
10.501	126.222
10.549	126.202
10.601	126.010
10.649	126.020
10.698	125.919
10.750	125.951
10.798	125.798
10.852	125.645
10.904	125.379
10.946	125.157
10.999	124.995
11.051	124.770
11.100	124.680
11.148	124.680
11.203	124.607
11.254	124.607
11.304	124.517
11.349	124.331
11.404	124.279
11.453	124.289
11.495	124.025
11.554	123.964
11.596	123.895
11.651	123.824
11.700	123.589
11.745	123.589
11.802	123.426
11.848	123.182
11.897	123.182
11.949	123.039
12.000	123.039
12.053	122.814
12.099	122.814
12.150	122.742
12.197	122.590
12.249	122.355
12.300	122.192
12.345	121.968
12.402	121.734
12.450	121.636
12.495	121.636
12.545	121.401
12.595	121.167
12.649	121.238
12.697	121.248
12.754	121.248
12.797	121.096
12.852	121.115
12.895	120.880
12.952	120.880
13.001	120.717
13.049	120.585
13.101	120.575
13.152	120.503
13.203	120.269
13.245	120.034
13.304	119.872
13.347	119.872
13.400	119.780
13.452	119.637
13.504	119.575
13.551	119.413
13.597	119.311
13.649	119.129
13.700	119.077
13.749	119.077
13.800	118.833
13.849	118.680
13.904	118.445
13.951	118.283
14.004	118.110
14.046	118.110
14.100	118.110
14.151	117.866
14.196	117.857
14.247	117.622
14.300	117.622
14.346	117.622
14.397	117.440
14.454	117.449
14.501	117.206
14.550	116.971
14.603	116.737
14.654	116.737
14.698	116.737
14.749	116.389
14.798	116.407
14.847	116.318
14.899	116.020
14.949	116.040
14.998	115.806
15.050	115.806
15.100	115.561
15.145	115.500
15.201	115.500
15.254	115.246
15.303	115.246
15.345	115.083
15.397	115.001
15.452	114.920
15.501	114.767
15.554	114.523
15.602	114.455
15.649	114.513
15.704	114.373
15.752	114.210
15.795	113.966
15.847	113.966
15.903	113.794
15.950	113.569
16.002	113.569
16.046	113.569
16.104	113.334
16.148	113.100
16.204	112.865
16.254	112.846
16.296	112.846
16.354	112.612
16.397	112.612
16.451	112.520
16.501	112.520
16.550	112.286
16.601	112.166
16.649	112.166
16.696	112.013
16.751	111.859
16.800	111.697
16.849	111.697
16.898	111.616
16.951	111.453
16.999	111.219
17.045	111.063
17.101	110.910
17.151	110.834
17.197	110.844
17.252	110.610
17.299	110.610
17.352	110.365
17.395	110.365
17.452	110.202
17.495	110.202
17.546	109.978
17.600	109.978
17.650	109.744
17.695	109.744
17.750	109.499
17.802	109.572
17.854	109.337
17.896	109.103
17.954	109.103
17.997	108.868
18.054	108.868
18.096	108.634
18.154	108.634
18.197	108.400
18.245	108.380
18.304	108.217
18.347	108.208
18.397	108.035
18.447	108.035
18.502	107.807
18.550	107.807
18.599	107.644
18.648	107.644
18.696	107.409
18.754	107.338
18.796	107.103
18.853	107.103
18.903	106.859
18.946	106.859
19.003	106.625
19.045	106.625
19.095	106.390
19.153	106.390
19.203	106.156
19.246	106.156
19.303	105.922
19.350	105.922
19.403	105.687
19.449	105.687
19.498	105.687
19.550	105.453
19.597	105.453
19.646	105.219
19.704	105.219
19.750	105.056
19.801	105.056
19.845	104.822
19.904	104.812
19.947	104.568
19.999	104.568
20.047	104.333
20.097	104.333
20.151	104.099
20.200	104.038
20.249	104.038
20.303	103.803
20.348	103.803
20.398	103.578
20.450	103.578
20.504	103.578
20.546	103.344
20.597	103.344
20.653	103.182
20.696	102.947
20.745	102.866
20.803	102.866
20.846	102.621
20.896	102.621
20.945	102.387
21.002	102.387
21.045	102.387
21.101	102.153
21.151	102.153
21.195	101.856
21.246	101.856
21.304	101.622
21.347	101.550
21.401	101.560
21.453	101.326
21.499	101.326
21.551	101.163
21.599	101.163
21.650	100.929
21.701	100.929
21.753	100.694
21.803	100.694
21.846	100.694
21.902	100.460
21.953	100.460
22.001	100.470
22.050	100.236
22.098	100.246
22.148	100.083
22.198	100.083
22.253	99.848
22.295	99.848
22.348	99.685
22.403	99.685
22.454	99.533
22.497	99.543
22.548	99.360
22.604	99.350
22.645	99.125
22.696	99.125
22.753	98.963
22.803	98.963
22.846	98.748
22.903	98.677
22.946	98.677
22.995	98.432
23.052	98.432
23.096	98.198
23.154	98.198
23.204	98.035
23.251	98.035
23.302	97.781
23.352	97.781
23.401	97.618
23.447	97.628
23.504	97.628
23.546	97.394
23.596	97.302
23.653	97.302
23.695	97.068
23.750	97.058
23.798	96.915
23.846	96.915
23.903	96.681
23.946	96.681
24.003	96.681
24.046	96.518
24.100	96.518
24.150	96.294
24.200	96.059
24.251	96.059
24.297	95.825
24.347	95.825
24.395	95.825
24.445	95.591
24.497	95.591
24.551	95.591
24.604	95.356
24.653	95.366
24.704	95.366
24.747	95.122
24.801	95.112
24.846	95.103
24.901	94.877
24.947	94.868
25.002	94.868
25.047	94.634
25.098	94.582
25.151	94.519
25.196	94.438
25.247	94.337
25.295	94.103
25.351	94.103
25.397	94.093
25.454	94.103
25.504	93.960
25.552	93.960
25.595	93.797
25.653	93.716
25.704	93.481
25.753	93.481
25.801	93.247
25.847	93.201
25.898	93.120
25.947	93.120
26.001	93.120
26.047	92.952
26.101	92.952
26.149	92.871
26.201	92.871
26.251	92.636
26.303	92.636
26.354	92.473
26.402	92.473
26.452	92.483
26.495	92.249
26.553	92.249
26.596	92.249
26.648	92.005
26.697	92.005
26.754	92.005
26.798	91.770
26.849	91.770
26.896	91.699
26.953	91.465
26.995	91.465
27.052	91.465
27.099	91.240
27.147	91.250
27.203	91.259
27.253	91.025
27.296	91.025
27.349	90.801
27.400	90.801
27.454	90.638
27.496	90.638
27.546	90.638
27.603	90.403
27.647	90.403
27.696	90.169
27.748	90.169
27.802	90.054
27.846	90.054
27.903	90.054
27.946	90.034
28.003	89.799
28.048	89.799
28.098	89.565
28.147	89.637
28.204	89.637
28.254	89.403
28.298	89.403
28.349	89.403
28.400	89.169
28.447	89.169
28.498	89.169
28.549	89.006
28.597	89.006
28.653	88.771
28.697	88.780
28.751	88.780
28.802	88.546
28.852	88.546
28.903	88.546
