x	y
3.715	301.197
4.040	305.708
4.386	307.953
4.722	309.258
5.009	310.698
5.356	313.442
5.729	314.900
6.083	316.186
6.395	317.184
6.848	318.125
7.122	320.926
7.503	321.425
7.855	322.155
8.195	322.922
8.576	322.173
8.862	322.961
9.234	323.171
9.546	323.421
9.869	322.961
10.204	322.922
10.620	323.920
10.876	323.768
11.208	322.922
11.589	321.425
11.883	319.737
12.213	320.178
12.559	320.427
12.891	320.543
13.252	321.175
13.632	319.180
13.898	317.319
14.290	316.685
14.671	315.438
15.017	313.288
15.329	311.695
15.676	310.199
16.024	310.064
16.403	308.951
16.749	308.203
17.031	306.839
17.442	306.456
17.684	304.960
18.038	304.421
18.411	303.712
18.792	301.217
19.157	301.197
19.416	300.220
19.762	299.721
20.164	300.390
20.455	300.220
20.836	300.719
21.171	301.197
21.459	300.220
21.805	299.970
22.178	299.584
22.567	299.721
22.879	299.222
23.297	299.584
23.537	300.220
23.883	300.968
24.192	300.390
24.610	299.970
24.887	300.968
25.311	301.197
25.580	299.471
25.996	299.471
26.318	297.166
26.619	295.230
27.000	297.475
27.326	296.360
27.658	296.228
28.039	293.234
28.333	289.911
28.766	289.492
29.043	285.750
29.340	286.686
29.666	284.004
30.047	284.503
30.459	285.880
30.775	286.000
31.086	287.995
31.466	285.074
31.779	285.501
32.194	283.505
32.361	281.850
32.783	283.255
33.164	284.503
33.368	281.850
33.857	282.756
34.307	282.756
34.487	281.044
34.861	280.761
35.207	282.008
35.494	281.850
35.900	281.260
36.277	281.044
36.523	280.511
36.904	279.264
37.285	278.625
37.562	278.765
37.943	278.515
38.292	276.207
38.636	275.023
38.913	275.023
39.299	274.595
39.640	273.775
39.952	273.027
40.418	273.789
40.679	273.775
41.060	273.775
41.425	272.983
41.648	272.528
42.064	271.530
42.432	271.370
42.687	270.782
43.068	270.033
43.439	271.370
43.761	271.779
44.073	273.027
44.446	274.595
44.731	275.272
45.112	277.767
45.453	281.044
45.804	279.763
46.081	279.513
46.460	280.238
46.774	282.756
47.155	283.255
47.579	285.074
47.882	283.006
48.228	284.503
48.586	285.880
48.852	283.255
49.267	283.006
49.593	281.850
49.891	279.513
50.237	277.268
50.600	278.625
50.999	284.253
51.345	287.995
51.719	289.105
