x	y
1.477	5.066e-7
1.924	5.066e-7
3.715	5.066e-7
4.040	5.066e-7
4.386	5.066e-7
4.722	5.066e-7
5.009	5.066e-7
5.356	5.066e-7
5.729	5.066e-7
6.083	5.066e-7
6.395	5.066e-7
6.848	5.066e-7
7.122	5.066e-7
7.503	5.066e-7
7.855	5.066e-7
8.195	5.066e-7
8.576	5.066e-7
8.862	5.066e-7
9.234	5.066e-7
9.546	1.571
9.869	6.160
10.204	8.641
10.620	11.399
10.876	13.415
11.208	15.164
11.589	16.381
11.883	17.446
12.213	17.152
12.559	17.401
12.891	18.252
13.252	17.597
13.632	16.479
13.898	15.833
14.290	15.934
14.671	16.630
15.017	17.446
15.329	17.325
15.676	17.314
16.024	17.446
16.403	17.836
16.749	19.301
17.031	19.864
17.442	20.594
17.684	20.594
18.038	20.670
18.411	20.257
18.792	18.727
19.157	18.252
19.416	18.380
19.762	19.237
20.164	19.864
20.455	20.594
20.836	22.135
21.171	23.088
21.459	24.101
21.805	26.300
22.178	27.119
22.567	28.889
22.879	31.636
23.297	33.568
23.537	34.915
23.883	35.871
24.192	35.986
24.610	36.729
24.887	37.598
25.311	38.405
25.580	38.630
25.996	38.531
26.318	39.211
26.619	38.705
27.000	38.932
27.326	39.211
27.658	38.932
28.039	38.857
28.333	39.211
28.766	38.952
29.043	38.952
29.340	39.020
29.666	38.952
30.047	39.289
30.459	39.269
30.775	39.277
31.086	39.516
31.466	39.768
31.779	39.776
32.194	39.602
32.361	39.768
32.783	39.602
33.164	39.602
33.368	39.768
33.857	39.864
34.307	40.113
34.487	40.018
34.861	39.864
35.207	40.124
35.494	40.267
35.900	40.407
36.277	40.668
36.523	40.766
36.904	40.929
37.285	40.929
37.562	40.766
37.943	40.929
38.262	40.929
38.636	41.015
38.913	41.189
39.299	41.189
39.640	41.265
39.952	40.962
40.418	40.712
40.679	41.015
41.060	41.000
41.425	40.898
41.648	40.766
42.064	40.800
42.432	42.013
42.687	41.985
43.068	42.072
43.439	43.011
43.761	43.259
44.073	43.731
44.446	43.961
44.731	44.295
45.112	44.298
45.453	44.259
45.804	43.799
46.081	43.799
46.460	44.009
46.774	43.900
47.155	43.951
47.579	44.009
47.882	43.689
48.228	43.440
48.586	43.261
48.852	42.930
49.267	42.669
49.593	42.512
49.891	42.409
50.237	42.409
50.600	42.762
50.999	42.756
51.345	42.571
51.719	42.762
