x	y
0.338	124.541
0.650	166.336
0.961	160.504
1.211	158.074
1.522	160.990
1.833	165.850
2.145	171.195
2.456	176.541
2.706	180.429
3.017	186.261
3.328	190.635
3.640	194.523
3.951	197.925
4.235	200.185
4.574	203.757
4.843	205.409
5.158	205.740
5.509	206.673
5.744	207.342
6.059	207.853
6.381	208.617
6.667	207.895
7.002	207.583
7.315	207.159
7.568	206.688
7.903	206.378
8.249	206.187
8.448	205.842
8.742	205.534
9.122	205.215
9.413	204.598
9.706	203.782
9.994	204.243
10.272	203.753
10.628	203.174
10.928	203.271
11.173	202.014
11.467	201.943
11.800	202.299
12.138	201.113
12.431	200.901
12.672	201.813
12.955	200.260
13.311	199.990
13.607	200.841
13.940	199.679
14.192	199.875
14.541	199.869
14.842	199.861
15.135	199.621
15.413	199.869
15.722	199.852
16.057	198.760
16.347	198.411
16.623	197.600
16.959	196.820
17.282	196.953
17.525	196.520
17.818	195.990
18.154	196.467
18.447	195.490
18.761	195.140
19.026	194.523
19.348	194.280
19.663	193.740
19.960	194.037
20.250	193.940
20.543	193.690
20.832	193.551
21.172	192.620
21.465	192.430
21.767	192.093
22.031	191.510
22.388	191.620
22.639	191.607
22.954	190.930
23.289	190.060
23.573	190.149
23.939	188.840
24.169	188.680
24.508	189.177
24.798	188.400
25.113	188.170
25.442	188.205
25.700	186.840
26.014	187.050
26.314	186.261
26.601	186.000
26.936	185.800
27.248	185.289
27.502	184.900
27.817	184.800
28.120	185.289
28.424	183.600
28.718	183.500
29.055	183.831
29.326	183.200
