x	y
1.333	143.700
1.452	145.851
1.531	133.482
1.611	132.944
1.721	130.333
1.810	148.540
1.887	145.946
1.969	134.558
2.048	140.473
2.131	148.160
2.247	157.145
2.311	149.935
2.446	152.843
2.485	158.221
2.567	155.313
2.644	157.145
2.734	157.568
2.843	153.918
2.926	154.099
3.003	156.181
3.080	154.099
3.170	154.793
3.280	155.532
3.349	159.997
3.400	160.910
3.516	162.599
3.605	163.120
3.678	164.674
3.757	168.977
3.849	172.087
3.952	171.967
3.996	172.204
4.144	174.896
4.194	175.968
4.298	179.253
4.375	180.120
4.473	184.035
4.516	185.845
4.592	187.800
4.708	187.753
4.811	189.661
4.910	194.791
4.964	195.433
5.041	197.468
5.144	197.468
5.228	198.556
5.298	199.370
5.400	200.590
5.506	200.783
5.567	202.325
5.644	205.101
5.705	206.485
5.811	206.077
5.904	205.547
6.003	205.495
6.063	205.947
6.170	206.142
6.182	206.123
6.272	206.836
6.381	208.199
6.413	207.703
6.503	207.356
6.619	206.623
6.682	207.530
6.785	207.703
6.849	208.026
6.897	208.974
7.029	210.173
7.175	209.312
7.208	208.744
7.295	207.699
7.375	204.927
7.493	202.858
7.541	206.142
7.652	207.661
7.708	205.795
7.798	205.101
7.891	205.101
7.977	205.101
8.050	208.774
8.129	207.161
8.221	208.397
8.311	204.234
8.408	203.734
8.503	201.978
8.567	200.169
8.657	201.805
8.747	202.152
8.845	203.396
8.964	207.699
9.029	208.958
9.123	209.274
9.183	207.877
9.285	207.530
9.322	207.661
9.413	206.068
9.520	208.736
9.631	204.580
9.695	204.060
9.759	203.396
9.878	205.547
9.952	205.274
10.037	203.996
10.118	201.631
10.196	200.169
10.298	205.968
10.355	203.934
10.465	200.937
10.554	201.245
10.644	202.846
10.753	201.783
10.759	201.631
10.832	199.094
10.926	198.335
10.990	196.948
11.067	195.733
11.150	195.329
11.234	196.601
11.311	196.774
11.413	196.948
11.508	197.480
11.627	199.094
11.683	198.682
11.772	199.203
11.849	199.203
11.926	200.070
11.985	200.907
11.990	201.284
12.104	203.934
12.170	204.407
12.260	205.101
12.342	203.934
12.422	205.547
12.516	204.754
12.606	204.580
12.708	203.713
12.760	205.448
12.819	206.247
12.926	205.621
13.067	204.927
13.137	206.010
13.195	208.917
13.285	209.611
13.362	211.693
13.455	211.463
13.575	212.001
13.606	212.481
13.734	216.030
13.773	216.841
13.901	217.591
13.952	218.632
14.042	220.220
14.131	221.981
14.195	224.877
14.324	226.785
14.409	227.059
14.465	224.530
14.580	221.928
14.687	221.944
14.760	220.020
14.846	218.455
14.886	215.290
14.990	215.683
15.085	220.068
15.204	209.850
15.260	203.713
15.337	208.744
15.482	207.699
15.529	206.489
15.562	208.774
15.683	211.173
15.772	212.040
15.880	207.161
15.959	201.245
16.029	201.458
16.158	200.907
16.196	201.111
16.317	200.707
16.397	193.178
16.465	195.733
16.554	201.284
16.635	204.472
16.721	205.795
16.834	212.001
16.913	205.010
16.953	203.396
17.072	215.766
17.152	230.286
17.192	233.513
17.351	227.059
17.390	224.370
17.470	237.815
17.555	218.285
17.734	211.866
17.748	210.925
17.824	211.693
17.907	214.690
18.026	210.387
18.093	213.601
18.157	215.509
18.265	238.891
18.349	233.378
18.401	222.969
18.503	217.379
18.619	217.244
18.683	214.642
18.821	216.303
18.861	213.614
18.875	213.428
18.939	211.173
19.099	215.766
