x	y
0.423	0.000
0.915	0.000
1.516	0.000
2.008	0.000
2.555	0.671
3.102	52.342
3.703	98.084
4.195	117.144
4.687	128.156
5.233	138.744
5.780	145.097
6.327	151.874
7.365	160.345
8.513	156.956
9.552	157.803
10.700	158.650
11.739	159.921
12.832	159.498
13.925	158.650
14.964	156.956
16.002	151.027
17.096	147.215
18.244	145.097
19.282	145.944
20.321	145.944
21.414	143.827
22.507	142.132
23.655	138.744
24.585	136.203
25.733	129.426
26.771	124.344
27.919	119.685
28.903	116.720
29.942	113.755
31.090	110.791
32.183	109.096
33.167	105.708
34.260	103.590
35.244	101.896
36.502	99.779
