x	y
0.134	18.213
0.258	29.213
0.376	38.044
0.498	46.169
0.621	50.380
0.761	52.994
0.886	55.124
1.010	57.399
1.134	60.013
1.259	61.833
1.385	63.240
1.501	65.032
1.631	66.805
1.757	67.821
1.880	69.405
2.008	72.202
2.130	74.280
2.260	76.914
2.379	79.171
2.504	81.487
2.629	84.751
2.753	87.700
2.877	90.287
3.001	92.857
3.128	95.162
3.252	96.787
3.377	99.062
3.513	101.121
3.626	103.612
3.750	105.770
3.874	108.162
4.016	109.462
4.123	110.398
4.260	111.745
4.390	113.323
4.532	114.948
4.621	115.923
4.755	116.600
4.889	117.548
5.013	118.198
5.137	117.701
5.262	117.223
5.388	115.923
5.512	113.973
5.642	114.418
5.762	114.312
5.886	113.987
6.012	113.337
6.126	112.558
6.264	111.800
6.385	111.062
6.511	110.737
6.635	111.387
6.759	112.687
6.884	113.987
7.012	113.466
7.133	112.687
7.262	111.584
7.379	110.900
7.506	109.762
7.631	109.451
7.756	106.876
7.880	105.575
8.021	106.550
8.128	104.251
8.253	99.362
8.377	98.387
8.504	101.637
