x	y
0.364	27.000
0.666	26.000
0.886	24.000
1.160	25.000
1.435	23.000
1.710	21.000
1.984	23.000
2.259	22.000
2.534	21.000
2.781	21.000
3.056	21.000
3.303	22.000
3.577	22.000
3.852	21.000
4.127	21.000
4.374	18.000
4.649	15.000
4.923	14.000
5.198	13.000
5.445	14.000
5.747	15.000
5.995	17.000
6.242	21.000
6.517	22.000
6.791	27.000
7.066	34.000
7.313	33.000
7.588	34.000
7.835	32.000
8.110	32.000
8.412	31.000
8.659	31.000
8.906	31.000
9.208	31.000
9.456	31.000
9.758	31.000
10.005	31.000
10.252	31.000
10.527	31.000
10.801	31.000
11.049	31.000
11.323	31.000
11.571	31.000
11.845	31.000
12.147	31.000
12.395	31.000
12.642	31.000
12.944	31.000
