x	y
2.853	253.696
3.474	243.357
4.095	253.696
4.717	261.967
5.294	268.171
5.915	261.967
6.537	259.210
7.158	260.589
7.779	263.346
8.356	264.035
8.978	257.142
9.599	248.871
10.176	246.114
10.842	250.250
11.419	251.628
12.040	250.250
12.661	248.182
13.283	245.425
13.904	243.357
14.481	240.600
15.103	239.222
15.724	240.600
16.301	242.668
16.922	244.736
17.588	242.668
18.165	242.668
18.786	239.911
19.408	238.533
20.029	238.533
20.651	240.600
21.228	244.047
21.849	244.047
22.470	246.804
23.092	248.182
23.713	253.696
24.113	255.764
