x	y
0.262	1.033
0.332	32.042
0.472	38.033
0.752	65.518
0.961	93.708
1.241	106.746
1.451	122.956
1.731	139.165
1.941	149.032
2.221	159.603
2.500	167.708
2.710	173.698
2.920	183.917
3.200	192.374
3.410	196.955
3.690	205.060
3.969	208.584
4.249	213.164
4.949	219.860
5.648	225.498
6.348	226.555
7.117	227.260
7.817	226.202
8.586	225.145
9.286	223.736
10.055	220.917
10.755	215.631
11.524	209.993
12.224	206.469
12.993	202.593
13.693	199.069
14.463	194.841
15.232	192.022
15.932	188.498
16.631	186.736
17.401	184.269
18.100	181.803
18.870	178.984
19.569	176.517
20.339	173.698
21.108	170.174
21.808	168.060
22.507	165.946
23.277	163.127
23.906	160.660
24.746	157.841
25.445	155.374
26.145	152.555
26.914	150.441
27.614	148.327
28.383	146.213
29.153	143.394
29.922	140.927
30.622	139.165
31.321	137.051
32.021	135.289
