x	y
2.768	175.083
2.955	188.205
3.328	200.841
3.578	208.617
3.889	214.935
4.637	220.766
5.446	218.336
6.381	219.308
7.315	214.935
8.249	206.187
9.122	205.701
9.994	212.019
10.928	209.589
11.800	208.131
12.610	207.159
13.607	206.187
14.541	206.673
15.413	205.701
16.285	204.729
17.282	199.383
18.154	196.467
19.026	195.495
19.960	195.009
20.832	196.467
21.704	196.953
22.639	195.495
23.573	195.009
24.445	193.551
25.380	194.523
26.314	191.121
27.248	191.607
28.120	191.607
29.055	191.121
