x	y
0.378	40.789
0.513	48.400
0.620	52.585
0.755	55.286
0.889	57.495
1.010	59.460
1.131	61.623
1.386	65.562
1.628	69.474
1.883	72.402
2.136	77.348
2.378	82.002
2.512	84.913
2.633	88.613
2.755	92.051
2.877	94.518
2.998	96.464
3.132	98.428
3.253	100.403
3.374	102.612
3.628	107.277
3.883	111.558
4.017	113.277
4.124	114.240
4.394	116.696
4.528	118.414
4.623	119.642
4.879	121.371
5.013	122.353
5.256	122.599
5.377	120.635
5.510	118.682
5.752	119.144
5.886	118.653
6.007	117.671
6.383	115.461
6.504	115.226
6.639	115.472
6.760	116.454
6.881	117.927
7.136	116.209
7.512	114.490
7.633	114.216
7.753	112.761
7.874	111.287
8.008	114.479
8.130	108.832
8.264	103.950
8.385	102.477
8.506	107.633
