x	y
0.381	40.598
0.502	45.263
0.623	51.401
0.757	56.312
0.891	60.496
1.000	63.944
1.134	67.119
1.388	70.311
1.630	74.221
1.845	79.132
2.114	84.288
2.315	87.708
2.517	88.445
2.625	88.936
2.751	89.839
2.886	91.067
3.006	92.049
3.127	92.540
3.261	93.031
3.381	94.013
3.636	97.923
3.878	99.888
4.012	100.133
4.121	100.624
4.390	102.087
4.538	102.332
4.673	102.595
4.888	103.332
5.035	103.894
5.264	104.385
5.386	104.641
5.535	104.886
5.737	104.770
5.886	105.034
6.006	104.789
6.384	105.525
6.504	105.525
6.638	105.752
6.759	105.998
6.880	106.244
7.135	106.244
7.500	106.247
7.621	106.247
7.756	106.247
7.878	106.247
8.026	106.258
8.133	106.002
8.254	106.002
8.388	106.002
8.509	106.247
