x	y
0.291	39.703
0.686	65.603
1.041	75.564
1.357	84.197
1.752	93.163
2.107	97.479
2.462	101.132
2.778	104.784
3.173	109.765
3.804	117.070
4.554	118.398
5.146	120.059
5.423	120.723
5.580	121.055
5.817	121.719
6.094	122.383
6.370	123.047
6.646	123.711
7.001	124.707
7.238	125.371
7.554	126.368
7.830	127.032
7.988	128.360
8.264	129.356
8.580	128.360
9.014	129.356
9.370	129.688
9.843	130.684
10.356	131.680
10.712	132.344
11.146	133.008
11.540	133.673
11.817	134.005
12.014	134.005
12.172	134.337
12.409	134.669
12.685	134.669
12.843	135.333
13.080	135.333
13.198	135.333
13.396	135.333
13.514	135.333
13.830	135.997
14.027	135.997
14.224	135.665
14.422	135.997
14.698	136.329
15.014	136.661
15.172	136.661
15.330	136.661
15.487	136.993
15.724	136.993
15.882	136.993
16.079	136.993
16.237	136.993
16.395	136.993
16.790	137.325
17.145	136.993
17.343	136.993
17.461	137.325
17.777	137.657
17.895	137.657
18.014	137.657
