x	y
0.058	0.000
0.123	0.000
0.174	0.000
0.252	0.000
0.291	0.000
0.369	0.000
0.447	0.000
0.499	0.000
0.563	0.000
0.641	0.000
0.686	0.000
0.758	0.000
0.823	0.000
0.875	0.000
0.952	0.000
1.041	0.000
1.069	0.000
1.160	0.000
1.199	0.000
1.302	1.271
1.330	2.460
1.357	3.842
1.458	5.390
1.510	5.291
1.575	4.964
1.614	4.398
1.691	3.431
1.752	0.000
1.795	0.858
1.873	2.906
1.938	5.217
2.015	4.639
2.054	4.437
2.107	4.174
2.223	3.427
2.236	1.786
2.340	0.000
2.391	0.000
2.462	0.000
2.508	0.000
2.573	1.302
2.625	2.312
2.728	4.270
2.778	3.842
2.832	2.188
2.884	0.380
2.936	0.000
3.027	0.000
3.079	0.000
3.130	0.078
3.173	2.846
3.286	5.274
3.312	7.297
3.377	9.823
3.442	12.271
3.506	13.936
3.571	15.677
3.636	16.975
3.714	17.782
3.779	17.823
3.804	17.788
3.882	17.860
3.947	18.049
4.025	18.543
4.090	18.998
4.168	19.531
4.206	19.774
4.232	20.003
4.336	20.545
4.401	21.037
4.453	21.353
4.554	21.772
4.595	21.758
4.712	21.984
4.751	22.072
4.855	22.480
4.881	22.694
4.971	23.207
5.049	23.490
5.062	23.919
5.146	24.429
5.205	24.576
5.334	24.766
5.423	25.093
5.503	25.073
5.580	24.761
5.671	24.693
5.762	24.649
5.817	24.761
5.892	24.600
5.944	24.450
6.009	24.515
6.047	24.680
6.094	24.761
6.190	24.885
6.242	25.189
6.307	25.747
6.370	26.089
6.449	26.037
6.514	25.911
6.579	25.924
6.646	26.089
6.773	26.077
6.825	26.231
6.955	26.256
7.001	26.753
7.111	26.913
7.238	27.749
7.383	28.657
7.499	29.119
7.554	29.410
7.629	29.462
7.694	29.704
7.830	29.742
7.888	30.018
7.988	30.406
8.044	30.257
8.109	30.233
8.174	30.347
8.264	30.406
8.290	30.148
8.381	30.318
8.472	30.480
8.580	30.738
8.627	31.034
8.731	31.236
8.835	31.692
8.939	31.930
9.014	32.398
9.081	32.359
9.172	32.221
9.211	32.185
9.289	32.262
9.370	32.398
9.405	32.463
9.509	32.439
9.678	32.730
9.768	33.299
9.843	33.726
9.924	34.031
10.066	34.398
10.118	34.548
10.235	34.750
10.287	34.928
10.356	35.054
10.455	35.255
10.585	35.421
10.650	35.724
10.712	36.051
10.857	36.418
10.961	37.097
11.065	37.205
11.146	37.379
11.259	37.521
11.350	37.699
11.428	37.839
11.540	38.043
11.622	38.030
11.713	38.130
11.817	38.043
11.894	38.005
11.959	37.993
12.014	37.711
12.076	37.767
12.172	37.711
12.283	37.841
12.335	37.969
12.409	38.043
12.478	38.296
12.530	38.247
12.595	38.223
12.685	38.043
12.750	37.755
12.843	37.711
12.971	37.792
13.080	37.711
13.113	37.691
13.198	37.379
13.269	37.109
13.396	37.047
13.437	37.283
13.514	37.379
13.580	37.476
13.645	37.501
13.723	37.488
13.800	37.561
13.830	37.711
13.917	37.816
14.027	38.043
14.086	37.904
14.137	37.877
14.224	37.711
14.254	37.716
14.332	37.675
14.422	37.379
14.462	37.279
14.552	37.355
14.565	37.316
14.643	37.542
14.698	37.379
14.786	37.388
14.837	37.300
14.928	37.238
14.941	37.251
15.014	37.379
15.032	37.417
15.123	37.529
15.172	37.379
15.291	37.376
15.330	37.379
15.408	37.385
15.487	37.379
15.563	37.372
15.628	37.409
15.724	37.047
15.797	36.904
15.882	36.715
15.965	36.577
16.017	36.516
16.079	36.383
16.147	36.176
16.199	36.064
16.237	36.051
16.315	36.051
16.395	36.051
16.445	36.007
16.562	35.853
16.691	35.523
16.790	35.386
16.860	35.349
16.912	35.349
17.003	35.288
17.016	35.139
17.080	35.239
17.145	35.054
17.249	35.114
17.343	35.054
17.417	35.227
17.461	35.054
17.560	35.093
17.638	34.968
17.703	34.693
17.777	34.722
17.832	34.968
17.895	35.054
17.949	35.057
18.014	35.054
