x	y
3.760	302.210
4.102	305.830
4.443	307.820
4.785	309.310
5.127	310.910
5.469	312.820
5.811	314.990
6.152	316.450
6.494	317.000
6.836	318.230
7.178	320.600
7.519	321.420
7.861	321.730
8.203	322.400
8.545	322.410
8.887	322.610
9.228	323.080
9.570	323.460
9.912	323.270
10.254	323.070
10.596	323.920
10.937	323.640
11.279	322.770
11.621	321.710
11.963	320.420
12.305	320.380
12.646	320.660
12.988	321.160
13.330	321.240
13.672	319.230
14.014	317.370
14.355	316.550
14.697	315.720
15.039	313.710
15.381	311.970
15.723	311.020
16.064	310.380
16.406	309.360
16.748	308.480
17.090	307.450
17.432	306.410
17.773	304.970
18.115	304.930
18.457	303.550
18.799	301.270
19.141	300.790
19.482	300.090
19.824	300.180
20.166	300.280
20.508	300.560
20.849	300.950
21.191	300.990
21.533	300.580
21.875	300.060
22.217	299.930
22.528	300.289
22.900	299.250
23.242	299.760
23.584	300.220
23.926	300.780
24.267	300.450
24.609	300.550
24.951	300.750
25.293	300.790
25.635	299.490
25.976	299.710
26.318	297.390
26.660	296.010
27.002	297.320
27.344	296.200
27.685	296.490
28.027	293.730
28.369	290.340
28.711	289.670
29.053	285.760
29.394	286.700
29.736	284.440
30.078	284.940
30.420	285.660
30.762	286.400
31.103	288.660
31.445	285.390
31.787	284.990
32.129	283.880
32.471	282.100
32.825	283.664
33.154	284.310
33.496	282.360
33.838	282.880
34.179	283.090
34.521	281.180
34.863	280.980
35.205	282.060
35.547	281.690
35.888	281.270
36.230	281.440
36.572	280.220
36.914	279.450
37.256	278.920
37.597	279.240
37.939	278.760
38.281	276.830
38.623	275.880
38.965	275.790
39.306	275.140
39.648	273.680
39.990	273.120
40.332	274.000
40.674	273.970
41.015	273.690
41.357	273.290
41.699	272.930
42.041	272.010
42.383	271.760
42.724	271.250
43.066	270.560
43.408	271.110
43.750	272.170
44.092	273.200
44.433	274.560
44.775	275.350
45.117	277.960
45.459	281.070
45.801	279.680
46.142	279.600
46.484	280.080
46.826	282.560
47.168	282.860
47.510	284.230
47.851	282.870
48.193	284.620
48.535	285.870
48.877	283.910
49.218	283.440
49.560	282.140
49.902	279.620
50.244	277.630
50.586	278.160
50.927	284.740
51.269	287.930
51.611	289.000
