x	y
0.362	24.007
0.774	42.288
1.152	56.180
1.599	67.557
1.990	76.398
2.368	84.709
2.837	91.794
3.206	99.345
3.584	106.415
3.992	113.758
4.368	121.424
4.774	128.742
5.147	134.207
5.584	138.293
5.990	140.525
6.468	142.539
6.801	142.882
7.179	143.130
7.540	143.296
8.017	144.743
8.422	146.107
8.778	147.083
9.233	148.588
9.611	150.076
10.017	151.316
10.428	152.006
10.827	152.681
11.233	153.549
11.638	154.665
12.078	156.172
12.422	157.270
12.800	158.014
13.151	159.201
13.611	159.007
14.017	158.263
14.471	156.929
14.827	155.410
15.206	153.301
15.709	151.249
16.039	150.491
16.422	150.324
16.827	150.324
17.233	150.448
17.689	150.870
18.070	150.820
18.476	150.944
18.927	151.627
19.260	152.185
19.692	153.053
20.082	153.521
20.503	153.425
20.908	153.177
21.320	152.006
21.638	151.068
22.151	150.944
22.475	150.491
22.827	150.076
23.300	149.734
23.692	149.952
24.124	150.324
24.538	150.491
24.908	150.200
25.313	149.704
25.776	149.734
26.097	148.836
26.518	148.598
26.935	148.712
27.286	148.340
27.756	148.219
28.168	147.083
28.557	146.727
28.908	146.479
29.324	145.947
29.746	145.487
30.178	145.239
30.561	145.190
30.989	145.239
31.340	145.363
31.716	145.947
32.151	146.727
32.556	146.851
32.954	147.462
33.367	146.975
33.719	147.347
34.151	148.092
34.556	148.960
34.989	149.208
35.367	149.332
35.772	148.092
36.151	147.843
36.583	147.595
36.935	147.843
37.394	149.332
37.772	150.076
