x	y
0.032	0.528
0.362	24.007
0.774	38.000
1.152	47.000
1.599	54.000
2.017	67.000
2.368	71.000
2.837	78.000
3.206	81.000
3.584	87.000
3.992	93.308
4.368	99.097
4.774	105.795
5.147	109.971
5.584	116.710
5.965	122.307
6.468	124.000
6.801	124.500
7.179	124.000
7.540	123.000
7.990	122.800
8.422	122.000
8.778	121.800
9.206	121.176
9.611	120.059
9.990	119.191
10.428	118.302
10.827	117.454
11.233	116.214
11.611	114.974
12.078	113.000
12.395	110.000
12.800	108.000
13.151	102.000
13.611	101.000
13.990	99.000
14.471	97.000
14.827	97.000
15.179	97.000
15.709	96.000
16.039	96.000
16.422	95.600
16.800	95.400
17.206	95.376
17.689	94.066
18.070	93.019
18.449	91.655
18.927	90.279
19.233	89.546
19.665	88.554
20.082	87.628
20.503	86.321
20.881	85.329
21.320	84.598
21.611	83.468
22.151	82.600
22.475	81.948
22.800	80.864
23.300	80.054
23.665	79.127
24.124	78.259
24.538	77.403
24.908	76.894
25.340	76.026
25.776	75.131
26.070	74.786
26.518	73.995
26.935	73.297
27.259	72.677
27.756	72.101
28.168	71.344
28.530	70.817
28.881	70.320
29.324	69.829
29.719	69.204
30.178	68.708
30.561	67.936
31.016	67.468
31.313	67.344
31.716	66.800
32.124	66.227
32.556	65.731
32.954	65.285
33.367	64.863
33.719	64.491
34.124	63.995
34.529	63.622
34.962	63.250
35.340	62.878
35.772	62.382
36.151	61.886
36.583	61.514
36.908	61.142
37.367	60.646
37.772	60.273
