x	y
0.356	43.000
0.711	65.000
1.067	95.000
1.423	112.000
1.778	145.000
2.134	155.000
2.490	165.000
2.845	176.000
3.201	187.000
3.557	193.000
3.912	198.000
4.268	201.000
4.624	206.000
4.979	210.000
5.335	214.000
5.691	215.000
6.046	217.000
6.402	218.000
6.758	220.000
7.113	219.000
7.469	218.000
7.825	217.000
8.180	216.000
8.536	215.000
8.892	214.000
9.247	213.000
9.603	212.000
9.959	211.000
10.314	210.000
10.670	208.000
11.025	207.000
11.381	206.000
11.737	204.000
12.092	202.000
12.448	200.000
12.804	198.000
13.159	196.000
13.515	194.000
13.871	192.000
14.226	190.000
14.582	188.000
14.938	186.000
15.293	183.000
15.649	181.000
15.900	179.000
16.210	177.000
16.550	175.000
17.000	173.000
17.301	171.000
17.633	169.000
18.009	167.000
18.344	165.000
18.700	163.000
19.056	161.000
19.451	159.000
19.757	158.000
20.103	157.000
20.458	155.000
20.884	154.000
21.240	153.000
21.595	152.000
21.951	151.000
22.307	150.000
22.620	149.000
23.018	148.000
23.274	147.000
23.629	146.000
23.985	145.000
24.341	143.000
24.696	142.000
25.052	140.000
25.408	139.000
25.863	138.000
26.119	137.000
26.475	136.000
26.830	135.000
27.186	134.000
27.542	133.000
27.897	132.000
28.253	131.000
28.609	130.000
28.964	129.000
29.320	128.000
29.676	127.000
30.031	126.000
30.387	125.000
30.742	124.000
31.098	123.000
31.454	122.000
31.809	122.000
32.165	121.000
32.521	120.000
32.800	120.000
33.232	119.000
33.600	119.000
34.000	118.000
34.300	117.000
34.700	117.000
35.010	116.000
35.300	115.000
