x	y
0.356	7.000
0.711	20.000
1.067	75.000
1.423	130.000
1.778	165.000
2.134	172.000
2.490	185.000
2.845	195.000
3.201	205.000
3.557	207.000
3.912	210.000
4.268	208.000
4.624	206.000
4.979	200.000
5.335	205.000
5.691	201.000
6.046	203.000
6.402	204.000
6.758	205.000
7.113	205.000
7.469	215.000
7.825	215.000
8.180	204.000
8.536	203.000
8.892	203.000
9.247	203.000
9.603	203.000
9.959	203.000
10.314	203.000
10.670	203.000
11.025	204.000
11.381	204.000
11.737	203.000
12.092	203.000
12.448	201.000
12.804	201.000
13.159	201.000
13.515	201.000
13.871	201.000
14.226	200.000
14.582	200.000
14.938	199.000
15.293	197.000
15.649	187.000
15.900	184.000
16.210	182.000
16.550	180.000
17.000	182.000
17.301	184.000
17.633	188.000
18.009	189.000
18.344	190.000
18.700	189.000
19.056	188.000
19.451	188.000
19.757	188.000
20.103	188.000
20.458	188.000
20.884	186.000
21.240	187.000
21.595	187.000
21.951	187.000
22.307	187.000
22.620	187.000
23.018	185.000
23.274	184.000
23.629	181.000
23.985	175.000
24.341	154.000
24.696	153.000
25.052	150.000
25.408	150.000
25.863	152.000
26.119	147.000
26.475	149.000
26.830	149.000
27.186	148.000
27.542	148.000
27.897	150.000
28.253	148.000
28.609	146.000
28.964	147.000
29.320	151.000
29.676	153.000
30.031	160.000
30.387	164.000
30.742	162.000
31.098	161.000
31.454	163.000
31.809	164.000
32.165	165.000
32.521	167.000
32.800	164.000
33.232	167.500
33.600	170.000
34.000	168.000
34.300	169.000
34.700	169.500
35.010	170.000
35.300	171.000
