x	y
0.459	11.000
0.639	17.000
0.879	23.000
0.969	28.000
1.419	38.000
1.870	47.000
2.230	55.000
2.650	61.000
3.010	69.000
3.761	76.000
4.482	87.000
4.932	90.000
5.412	95.000
5.712	100.000
6.227	110.000
7.056	118.000
8.051	128.000
8.879	133.000
9.791	138.000
10.786	143.000
11.698	148.000
12.609	151.000
13.438	151.000
14.433	154.000
15.262	154.000
16.160	151.000
17.091	147.000
17.991	146.000
18.922	142.000
19.823	139.000
20.693	134.000
21.624	131.000
23.395	122.000
25.227	116.000
26.998	110.000
28.799	103.000
30.601	100.000
32.432	98.000
34.203	94.000
36.035	91.000
37.806	89.000
39.637	86.000
