x	y
0.713	149.118
0.904	161.104
1.159	166.392
1.350	174.501
1.604	180.142
1.795	184.020
2.050	190.365
2.304	195.653
2.495	200.237
2.686	204.115
2.941	206.582
3.132	206.935
3.386	203.762
3.641	199.531
3.895	196.359
4.532	196.359
5.168	204.467
5.805	207.992
6.505	207.992
7.141	208.345
7.841	209.755
8.478	208.698
9.178	208.698
9.814	209.403
10.514	210.108
11.151	211.870
11.851	210.813
12.487	208.345
13.187	210.108
13.887	209.403
14.523	204.820
15.160	199.531
15.860	200.942
16.496	204.467
17.196	203.409
17.833	199.179
18.533	195.301
19.233	195.653
19.869	197.064
20.506	198.826
21.206	198.121
21.778	201.999
22.542	199.884
23.179	199.531
23.815	205.172
24.515	199.531
25.151	197.416
25.851	191.423
26.552	192.128
27.252	194.596
27.888	193.538
28.524	191.070
29.161	187.898
29.846	187.460
30.069	191.098
30.226	194.345
30.744	194.713
31.416	191.658
31.660	191.650
32.049	187.277
32.533	188.682
32.946	190.524
33.201	190.347
33.411	187.477
33.676	188.874
33.886	186.279
34.097	180.139
34.288	175.664
34.532	174.321
34.732	171.627
34.993	174.092
35.214	177.039
35.402	178.865
35.633	182.181
35.865	184.007
36.100	184.007
36.298	184.559
36.560	184.744
36.756	185.649
36.931	187.152
37.219	187.889
37.439	189.162
37.626	190.652
37.887	192.171
38.085	193.575
38.317	193.760
38.547	192.839
38.766	191.618
38.963	190.030
39.187	189.385
39.417	185.994
39.672	187.528
39.862	187.528
40.094	176.872
40.318	175.767
40.506	165.927
40.728	167.769
40.973	159.680
41.209	162.189
41.411	176.541
41.651	163.717
41.865	160.339
42.052	158.951
42.273	160.830
42.551	161.943
42.763	165.091
42.950	166.349
43.235	166.533
43.422	166.533
43.622	168.191
43.906	167.515
44.062	169.894
44.346	170.975
