x	y
0.752	155.613
0.961	164.184
1.241	171.936
1.451	177.222
1.731	184.285
1.941	187.441
2.221	194.136
2.500	199.774
2.710	203.298
2.920	206.469
3.200	210.345
3.410	211.050
3.690	207.879
3.969	202.241
4.249	199.774
4.949	199.774
5.648	206.725
6.348	211.050
7.117	212.107
7.817	212.107
8.586	213.517
9.286	213.000
10.055	211.403
10.755	215.279
11.524	218.450
12.224	221.269
12.993	220.212
13.693	217.745
14.463	218.802
15.232	219.155
15.932	213.164
16.631	208.584
17.401	207.879
18.100	209.993
18.870	210.345
19.569	208.231
20.339	204.003
21.108	204.707
21.808	206.469
22.507	207.526
23.277	207.879
23.906	211.755
24.746	211.403
25.445	212.107
26.145	214.574
26.914	213.164
27.614	208.231
28.383	204.707
29.153	204.003
29.922	203.085
30.622	202.593
31.321	203.650
32.020	197.639
32.774	194.917
33.020	200.100
33.192	200.000
33.761	199.989
34.500	199.052
34.768	199.779
35.196	195.182
35.727	197.570
36.181	197.844
36.461	197.844
36.693	194.122
36.984	195.710
37.215	193.426
37.447	188.627
37.657	182.342
37.925	180.779
38.144	178.532
38.432	180.853
38.674	183.642
38.881	184.682
39.135	189.546
39.390	190.625
39.648	191.769
39.866	192.027
40.154	192.379
40.370	192.937
40.562	194.479
40.879	195.699
41.121	200.047
41.326	202.700
41.612	203.060
41.830	204.963
42.086	204.778
42.339	203.743
42.579	203.206
42.795	201.811
43.042	200.722
43.295	196.473
43.575	197.555
43.784	197.907
44.039	186.147
44.284	185.234
44.492	181.254
44.735	180.119
45.005	175.171
45.264	177.533
45.486	193.072
45.750	179.065
45.986	174.563
46.191	174.748
46.433	176.965
46.740	178.053
46.972	181.520
47.178	182.355
47.491	184.066
47.697	184.365
47.916	186.113
48.228	186.458
48.400	189.403
48.713	189.579
