x	y
0.332	0.015
0.459	0.015
0.713	0.015
0.904	0.015
1.159	0.015
1.350	0.015
1.604	0.015
1.795	0.015
2.050	0.015
2.304	0.015
2.495	0.015
2.686	0.015
2.941	0.015
3.132	0.015
3.386	0.015
3.641	0.015
3.895	0.015
4.532	0.015
5.168	9.510
5.805	13.035
6.505	19.029
7.141	21.144
7.841	24.669
8.478	27.842
9.178	27.137
9.814	27.137
10.514	27.490
11.151	29.253
11.851	34.188
12.487	37.361
13.187	40.181
13.887	41.592
14.523	42.297
15.160	44.412
15.860	47.232
16.496	47.585
17.196	47.232
17.833	45.117
18.533	43.354
19.233	42.649
19.869	41.239
20.506	40.181
21.206	38.419
21.778	37.361
22.542	33.483
23.179	33.836
23.815	33.131
24.515	33.836
25.151	33.483
25.851	33.836
26.552	35.598
27.252	35.598
27.888	36.656
28.524	37.714
29.161	37.361
29.846	37.499
30.070	37.499
30.226	38.028
30.744	38.227
31.416	38.703
31.660	38.703
32.049	38.941
32.532	38.941
32.945	38.941
33.200	38.020
33.411	37.720
33.676	37.033
33.886	37.544
34.097	37.544
34.288	37.544
34.532	37.612
34.731	37.612
34.993	37.612
35.213	37.251
35.402	37.435
35.633	37.919
35.865	38.271
36.100	38.341
36.298	37.980
36.560	38.165
36.756	38.517
36.931	38.824
37.220	38.824
37.440	38.996
37.626	39.181
37.886	39.480
38.085	39.480
38.318	39.480
38.548	39.971
38.766	40.155
38.963	40.332
39.187	40.332
39.417	40.332
39.672	40.356
39.862	40.356
40.094	40.334
40.317	40.356
40.506	40.295
40.728	40.110
40.973	40.110
41.209	40.639
41.411	40.992
41.651	41.360
41.866	41.360
42.052	41.452
42.272	41.812
42.552	41.935
42.763	42.304
42.950	42.487
43.235	43.032
43.422	43.217
43.621	43.577
43.905	43.865
44.062	44.048
44.347	44.409
