x	y
0.134	15.733
0.258	24.797
0.376	29.718
0.498	32.910
0.621	37.340
0.761	40.788
0.886	43.980
1.010	45.944
1.134	47.908
1.259	48.683
1.385	48.890
1.501	50.036
1.631	51.083
1.757	52.935
1.880	54.275
2.008	55.925
2.130	57.729
2.260	58.459
2.379	58.712
2.504	57.975
2.629	57.484
2.753	58.147
2.877	58.392
3.001	59.129
3.128	58.638
3.252	58.392
3.377	58.392
3.513	58.854
3.626	59.374
3.750	59.544
3.874	59.374
4.016	58.627
4.123	57.891
4.260	57.387
4.390	57.154
4.532	56.417
4.621	56.172
4.755	55.511
4.889	54.944
5.013	54.453
5.137	54.210
5.262	53.962
5.388	53.717
5.512	53.134
5.642	52.498
5.762	52.195
5.886	51.561
6.012	50.825
6.126	50.363
6.264	49.921
6.385	49.362
6.511	48.607
6.635	48.384
6.759	47.881
6.884	47.402
7.012	46.684
7.133	46.156
7.262	45.710
7.379	45.367
7.506	45.174
7.631	44.672
7.756	44.427
7.880	43.936
8.021	43.416
8.128	43.416
8.253	43.387
8.377	43.142
8.504	42.896
