x	y
1.333	138.322
1.452	142.087
1.531	122.726
1.611	126.491
1.810	142.087
1.969	128.642
2.048	136.171
2.247	147.465
2.446	143.162
2.485	150.692
2.644	149.078
2.843	147.465
3.280	151.767
3.400	157.145
3.678	158.759
3.757	163.599
3.996	167.901
4.194	171.128
4.473	177.582
4.592	182.960
4.910	187.800
5.228	193.178
5.506	195.329
5.705	201.783
5.904	198.556
6.063	200.707
6.182	199.631
6.381	201.783
6.619	198.556
6.897	203.396
7.175	203.396
7.295	200.169
7.493	195.329
7.652	201.783
7.891	199.631
8.050	198.556
8.129	200.707
8.408	195.867
8.567	194.791
8.845	198.018
8.964	201.783
9.123	205.547
9.322	203.934
9.520	201.783
9.759	200.169
9.878	201.245
10.037	200.169
10.196	196.405
10.355	199.094
10.554	197.480
10.753	199.631
10.832	195.867
11.150	191.564
11.508	193.178
11.627	191.564
11.985	197.480
12.104	200.169
12.342	199.631
12.422	201.783
12.819	198.556
13.137	200.707
13.455	202.321
13.575	205.010
13.773	208.774
14.131	212.539
14.409	217.379
14.687	213.614
14.846	210.925
14.886	205.547
15.085	211.463
15.204	207.699
15.482	202.858
15.562	206.623
15.880	200.707
15.959	194.791
16.158	193.716
16.317	193.716
16.397	186.186
16.635	190.489
16.834	201.245
16.913	188.338
16.953	184.573
17.072	203.396
17.152	209.312
17.192	224.370
17.351	213.077
17.390	203.396
17.470	223.833
17.748	193.716
17.907	196.405
18.026	192.102
18.265	220.068
18.503	199.094
18.821	205.547
18.861	191.564
19.099	199.094
