x	y
0.388	29.364
0.559	26.502
0.678	24.229
0.833	26.152
0.935	27.118
1.084	30.317
1.225	30.327
1.383	32.859
1.482	36.104
1.650	36.549
1.772	35.783
1.909	36.101
2.029	38.029
2.189	38.755
2.319	41.559
2.447	43.058
2.576	44.448
2.747	47.651
2.866	49.583
3.004	50.835
3.124	53.434
3.270	53.869
3.413	54.718
3.540	53.869
3.671	55.680
3.830	56.354
3.960	57.927
4.128	59.329
4.250	60.494
4.373	62.079
4.508	64.667
4.651	69.118
4.765	72.369
4.931	74.568
5.055	76.862
5.185	79.122
5.344	79.108
5.466	79.457
5.634	76.541
5.725	75.257
5.892	73.332
6.015	73.332
6.181	71.406
6.272	70.122
6.407	72.048
6.562	78.788
6.664	81.034
6.819	80.392
6.986	82.960
7.077	86.490
7.211	88.736
7.366	90.983
7.501	92.909
7.656	95.155
7.790	97.402
7.913	99.327
8.048	100.290
8.139	99.648
8.305	104.141
8.461	105.104
8.595	104.462
8.750	105.425
8.853	106.709
9.040	107.030
9.142	107.992
9.297	107.992
9.432	105.746
9.555	105.746
9.689	106.067
9.845	107.350
9.979	108.955
10.102	110.881
10.204	112.164
10.392	111.523
10.494	110.560
10.649	110.239
10.816	109.276
10.907	111.202
11.041	111.202
11.229	110.239
11.331	109.597
11.486	111.202
11.621	110.881
11.744	111.202
11.878	111.523
12.001	111.844
12.136	112.806
12.291	113.769
12.425	113.448
12.548	114.090
12.715	114.090
12.806	113.448
12.972	113.448
13.127	113.127
13.230	114.090
13.385	114.732
