x	y
3.582	202.293
3.912	210.276
4.242	215.759
4.572	219.120
4.854	220.399
5.231	219.979
5.514	218.718
5.844	218.298
6.174	218.718
6.504	219.558
6.834	219.558
7.164	217.878
7.493	216.617
7.825	214.948
8.155	212.458
8.435	210.339
8.765	206.977
9.100	204.456
9.430	205.296
9.760	205.296
10.046	205.296
10.376	206.977
10.706	212.019
11.035	211.179
11.365	209.937
12.025	208.256
12.681	207.817
13.296	206.977
13.907	206.557
14.610	206.137
15.270	206.557
16.542	206.137
17.529	204.456
17.858	203.195
18.190	201.515
18.520	199.432
18.850	198.171
19.174	196.502
19.497	195.902
19.822	195.162
20.485	195.768
20.808	194.555
21.131	196.224
21.437	194.707
21.780	195.283
22.120	195.738
22.715	197.104
23.412	196.946
24.704	194.822
25.317	194.822
25.640	195.125
25.997	196.035
26.658	193.305
26.966	195.125
27.305	194.523
27.612	190.577
27.989	190.728
28.603	190.728
29.248	191.639
29.503	191.487
29.913	192.865
30.235	191.045
