x	y
3.969	217.860
4.249	215.200
4.879	215.200
5.578	222.421
6.348	227.362
7.117	228.502
7.817	228.502
8.586	230.022
9.216	228.882
10.055	227.742
10.755	231.923
11.455	235.343
12.224	238.384
12.993	237.244
13.693	234.583
14.463	235.723
15.232	236.104
15.932	229.642
16.631	224.701
17.401	223.941
18.100	226.222
18.870	226.602
19.569	224.321
20.339	219.760
21.108	220.521
21.808	222.421
22.507	223.561
23.277	223.941
23.906	228.122
24.746	227.742
25.375	228.502
26.145	231.163
26.914	229.642
27.614	224.321
28.383	220.521
29.153	219.760
29.852	219.760
30.622	218.240
