x	y
0.055	0
0.291	0
0.686	0
1.041	0
1.357	3.842
1.752	3.510
2.107	4.174
2.462	1.518
2.778	3.842
3.173	2.846
3.804	17.788
4.554	21.772
5.146	24.429
5.423	25.093
5.580	24.761
5.817	24.761
6.094	24.761
6.370	26.089
6.646	26.089
7.001	26.753
7.238	27.749
7.554	29.410
7.830	29.742
7.988	30.406
8.264	30.406
8.580	30.738
9.014	32.398
9.370	32.398
9.843	33.726
10.356	35.054
10.712	36.051
11.146	37.379
11.540	38.043
11.817	38.043
12.014	37.711
12.172	37.711
12.409	38.043
12.685	38.043
12.843	37.711
13.080	37.711
13.198	37.379
13.396	37.047
13.514	37.379
13.830	37.711
14.027	38.043
14.224	37.711
14.422	37.379
14.698	37.379
15.014	37.379
15.172	37.379
15.330	37.379
15.487	37.379
15.724	37.047
15.882	36.715
16.079	36.383
16.237	36.051
16.395	36.051
16.790	35.386
17.145	35.054
17.343	35.054
17.461	35.054
17.777	34.722
17.895	35.054
18.014	35.054
