x	y
0.027	0.613
0.276	102.671
0.338	109.961
0.650	131.830
0.961	108.989
1.211	97.811
1.522	84.690
1.833	76.428
2.145	68.166
2.456	65.250
2.706	61.362
3.017	57.474
3.328	54.558
3.640	53.100
3.951	50.670
4.574	46.296
5.509	42.894
6.381	39.493
7.315	36.091
8.249	34.147
9.122	33.175
9.994	31.231
10.928	30.259
11.800	28.801
12.672	27.829
13.607	26.371
14.541	25.885
15.413	24.913
16.347	24.427
17.282	23.941
18.154	22.969
19.026	22.483
19.960	21.997
20.832	21.511
21.767	20.539
22.639	21.025
23.573	20.539
24.508	20.053
25.442	19.567
26.314	19.081
27.248	18.595
28.120	18.109
29.055	18.109
