x	y
0.151	0.000
0.190	0.000
0.270	0.000
0.309	0.000
0.349	0.000
0.548	0.000
0.707	0.000
0.826	0.000
1.025	0.000
1.184	0.000
1.343	0.000
1.462	0.000
1.541	0.000
1.661	0.000
1.820	0.000
1.899	0.000
2.018	0.000
2.138	0.000
2.257	0.000
2.336	0.000
2.495	0.000
2.614	0.000
2.734	0.000
2.853	0.000
2.972	0.000
3.091	0.000
3.211	0.000
3.370	0.000
3.489	0.000
3.687	0.000
3.846	0.000
4.005	0.000
4.085	0.000
4.204	0.000
4.284	0.000
4.443	0.000
4.522	0.000
4.602	0.000
4.721	0.000
4.840	0.000
4.999	0.000
5.118	0.000
5.237	0.000
5.357	0.000
5.476	0.000
5.635	0.000
6.787	0.000
7.940	0.000
9.053	0.000
10.205	0.000
11.318	12.200
12.470	19.574
13.583	26.948
14.736	34.322
15.848	38.344
17.001	38.344
18.153	36.333
19.306	34.992
20.419	34.322
21.452	34.992
22.485	36.333
23.479	36.333
24.472	37.003
25.505	35.662
26.539	34.992
27.572	34.992
28.566	34.322
29.639	32.311
30.632	32.311
31.665	30.970
32.699	30.300
33.692	29.629
34.725	29.629
