x	y
0.488	161.570
0.638	170.807
0.787	179.203
0.987	185.081
1.136	185.921
1.286	186.760
1.535	186.760
1.635	186.340
1.835	187.180
2.034	189.279
2.383	193.478
2.483	195.157
2.682	195.997
2.832	196.836
3.181	198.935
3.380	200.615
3.530	201.874
3.729	203.554
4.078	205.233
4.428	206.073
4.727	207.332
5.126	207.752
5.475	208.592
5.774	209.431
6.173	209.851
6.472	210.271
6.871	210.271
7.469	208.172
8.018	206.492
8.367	206.073
8.866	205.653
9.264	205.233
9.564	205.233
10.062	203.973
10.411	203.973
10.561	203.973
10.760	203.973
11.109	203.973
11.458	203.973
11.758	204.393
12.306	204.813
12.805	203.973
13.353	203.134
13.852	202.294
14.401	201.454
14.500	201.454
14.949	201.035
15.198	199.775
15.597	199.775
15.896	199.355
16.246	198.096
16.395	197.676
16.944	196.836
17.293	195.577
17.492	195.157
17.991	194.317
18.190	194.737
18.340	194.737
18.489	194.317
18.689	194.317
18.839	193.897
19.038	193.897
19.347	192.400
19.586	192.500
19.886	193.058
20.434	192.638
20.883	191.378
21.431	190.959
21.731	190.959
21.930	191.378
22.130	191.378
22.279	190.959
22.977	190.119
23.127	189.699
23.326	189.699
23.476	189.699
23.675	189.699
24.174	189.699
24.374	188.859
24.723	188.859
25.321	188.440
25.520	188.440
25.720	188.020
25.919	188.020
26.069	188.020
26.219	188.020
26.418	187.600
26.767	187.180
27.086	187.200
27.266	186.760
27.565	186.760
28.113	187.180
28.522	186.600
28.762	186.340
29.081	186.000
29.360	186.340
29.859	186.340
30.008	186.760
30.158	186.760
30.307	186.340
30.507	186.340
30.657	186.340
30.856	186.340
31.006	186.340
31.205	186.340
31.355	186.340
31.554	186.340
31.704	186.760
32.053	186.760
32.252	186.340
32.432	186.760
32.751	187.180
32.900	187.180
33.100	187.180
33.788	187.180
34.187	187.180
