x	
0.006	244.309
0.051	243.933
0.111	243.839
0.158	243.449
0.205	242.93
0.216	242.768
0.251	242.099
0.298	241.062
0.344	239.327
0.407	237.093
0.451	234.319
0.498	232.423
0.545	230.201
0.607	227.437
0.654	225.882
0.697	221.542
0.743	217.045
0.805	213.429
0.851	211.175
0.913	209.459
0.961	206.359
1.084	198.749
1.146	196.33
1.207	195.479
1.254	194.43
1.3	193.047
1.345	191.83
1.409	190.979
1.44	189.935
1.503	188.372
1.549	186.829
1.597	185.439
1.643	184.23
1.899	177.973
1.944	177.096
2.007	175.887
2.053	174.838
2.1	173.801
2.146	172.756
2.207	171.387
2.253	170.355
2.299	168.973
2.345	168.101
2.407	167.064
2.452	165.868
2.498	165.016
2.545	163.819
2.607	162.795
2.654	161.923
2.701	161.244
2.747	160.208
2.809	159.171
2.854	157.961
2.9	157.097
2.943	156.399
3.004	155.695
3.05	155.011
3.096	154.32
3.142	153.444
3.204	152.758
3.252	152.239
3.297	151.548
3.343	150.857
3.406	150.158
3.452	149.48
3.499	148.969
3.546	148.37
3.608	146.993
3.654	146.302
3.715	145.784
3.746	145.27
3.808	144.587
3.855	144.053
3.9	143.395
3.948	143.037
4.01	142.346
4.054	141.646
4.116	141.128
4.148	140.783
4.195	140.264
4.242	139.746
4.304	139.227
4.366	138.722
4.456	138.191
4.503	137.672
4.55	137.162
4.597	136.656
4.643	136.138
4.705	135.619
4.75	135.139
4.796	134.793
4.843	134.275
4.905	133.743
4.952	133.233
4.997	132.714
5.045	132.209
5.107	131.705
5.153	131.36
5.199	131.005
5.245	130.659
5.307	130.313
5.353	129.968
5.399	129.634
5.443	129.274
5.489	128.928
5.551	128.583
5.598	128.064
5.66	127.719
5.707	127.373
5.754	127.028
5.8	126.682
5.847	126.324
5.892	125.979
5.954	125.633
6	125.107
6.045	124.601
6.107	124.256
6.169	123.915
6.231	123.569
6.292	123.224
6.354	122.705
6.416	122.187
6.478	121.841
6.54	121.496
6.602	121.15
6.664	120.805
6.725	120.472
6.786	120.134
6.848	119.781
6.91	119.428
6.972	119.082
7.034	118.744
7.095	118.398
7.158	118.053
7.221	117.694
7.283	117.356
7.345	117.011
7.407	116.665
7.473	116.312
7.533	115.826
7.579	115.501
7.695	115.088
7.741	114.569
7.789	114.243
7.85	114.071
7.91	113.911
7.958	113.578
8.003	113.232
8.05	113.06
8.096	112.899
8.143	112.696
8.236	112.171
8.283	111.998
8.329	111.825
8.376	111.652
8.422	111.307
8.484	111.134
8.53	110.973
8.576	110.801
8.623	110.48
8.715	110.122
8.762	109.777
8.824	109.604
8.87	109.431
8.916	109.258
8.962	109.086
9.009	108.913
9.04	108.74
9.071	108.74
9.118	108.554
9.163	108.222
9.21	108.061
9.257	107.901
9.351	107.58
9.411	107.408
9.458	107.235
9.519	107.062
9.565	106.889
9.627	106.716
9.672	106.205
9.734	105.872
9.78	105.526
9.826	105.354
9.874	105.169
9.92	104.81
9.981	104.457
10.043	104.119
10.089	103.946
10.152	103.761
10.212	103.589
10.26	103.416
10.311	103.205
10.357	103.033
10.403	102.873
10.45	102.7
10.496	102.354
10.543	102.354
10.604	102.181
10.65	102.001
10.696	101.828
10.759	101.656
10.805	101.495
10.836	101.483
10.883	101.322
10.93	101.149
10.976	100.964
11.023	100.784
11.069	100.611
11.099	100.438
11.146	100.265
11.193	100.092
11.24	99.912
11.286	99.739
11.334	99.567
11.381	99.394
11.442	99.394
11.489	99.394
11.536	99.221
11.582	99.048
11.629	98.868
11.675	98.695
11.722	98.523
11.766	98.337
11.828	98.157
11.877	97.991
11.922	97.979
11.968	97.799
12.015	97.626
12.062	97.461
12.123	97.461
12.169	97.461
12.2	97.288
12.247	97.127
12.309	97.127
12.355	96.955
12.402	96.79
12.449	96.617
12.495	96.456
12.541	96.284
12.588	96.111
12.634	95.765
12.696	95.585
12.758	95.585
12.803	95.412
12.849	95.412
12.91	95.24
12.956	95.24
13.003	95.071
13.065	94.899
13.096	94.906
13.158	94.733
13.22	94.561
13.267	94.388
13.314	94.215
13.361	94.023
13.408	93.857
13.455	93.677
13.502	93.504
13.548	93.504
13.595	93.504
13.64	93.331
13.686	93.159
13.731	92.825
13.777	92.813
13.808	92.64
13.854	92.468
13.916	92.295
13.977	92.137
14.038	91.964
14.101	91.944
14.21	91.771
14.334	91.606
14.459	91.273
14.567	90.907
14.629	90.712
14.767	90.547
14.907	90.041
14.998	89.696
15.1	89.362
15.193	89.119
15.271	88.946
15.364	88.774
15.458	88.433
15.551	88.261
15.597	88.261
15.68	87.995
15.726	87.995
15.82	87.815
15.912	87.629
16.021	87.622
16.131	87.442
16.193	87.442
16.241	87.269
16.38	86.931
16.427	86.758
16.473	86.585
16.568	86.585
16.615	86.578
16.724	86.232
16.786	86.232
16.893	85.887
16.956	85.714
17.002	85.541
17.064	85.368
17.128	85.363
17.175	85.19
17.283	85.017
17.392	84.845
17.438	84.672
17.532	84.326
17.625	84.153
17.656	84.153
17.75	83.808
17.812	83.635
17.95	83.462
17.996	83.462
18.058	83.462
18.153	83.298
18.199	83.298
18.309	83.298
18.385	83.125
18.447	83.125
18.556	82.952
18.616	82.952
18.71	82.779
18.756	82.791
18.787	82.619
18.849	82.619
18.954	82.446
19.017	82.273
19.141	82.273
19.203	82.108
19.266	81.935
19.343	81.935
19.39	81.935
19.436	81.935
19.498	81.935
19.605	81.589
19.714	81.582
19.807	81.236
19.93	81.229
19.992	81.056
20.054	80.883
20.147	80.703
20.24	80.53
20.302	80.53
20.392	80.37
20.517	80.383
20.58	80.202
20.641	80.202
20.749	80.03
20.872	79.857
20.933	79.857
20.98	79.684
21.042	79.684
21.103	79.519
21.165	79.346
21.231	79.188
21.276	79.015
21.415	78.67
21.463	78.67
21.526	78.497
21.65	78.304
21.696	78.304
21.837	78.132
21.883	77.959
21.977	77.786
22.023	77.786
22.147	77.44
22.193	77.268
22.303	77.095
22.349	77.095
22.457	76.929
22.503	76.929
22.566	76.937
22.69	76.764
22.766	76.764
22.89	76.406
22.952	76.406
23.138	76.241
23.193	76.05
23.301	75.877
23.347	75.704
23.471	75.704
23.533	75.704
23.611	75.704
23.688	75.532
23.812	75.532
23.889	75.532
23.936	75.532
23.998	75.359
24.107	75.186
24.169	75.186
24.23	75.186
24.323	74.841
24.51	74.51
24.571	74.338
24.65	74.325
24.711	74.325
24.851	74.14
24.914	74.066
25.022	73.893
25.084	73.893
25.192	73.72
25.301	73.547
25.425	73.547
25.487	73.375
25.532	73.375
25.641	73.202
25.765	73.029
25.811	72.856
25.966	72.856
26.089	72.683
26.136	72.511
26.181	72.629
26.227	72.457
26.305	72.284
26.366	72.111
26.458	72.111
26.551	71.938
26.675	71.938
26.737	71.938
26.86	71.765
27.016	71.412
27.123	71.412
27.201	71.412
27.279	71.412
27.356	71.412
27.48	71.08
27.572	71.08
27.65	70.907
27.789	70.714
27.851	70.714
27.974	70.706
28.098	70.706
28.207	70.534
28.346	70.534
28.501	70.373
28.625	70.188
28.671	70.188
28.733	70.198
28.887	70.198
28.965	69.853
29.012	69.853
29.152	69.667
29.258	69.494
29.305	69.321
29.43	69.149
29.461	68.976
29.554	68.803
29.6	68.803
29.745	68.595
29.791	68.43
29.884	68.43
29.915	68.285
29.992	68.12
