x	y
0.350	169.149
0.399	167.745
0.453	166.258
0.503	165.442
0.549	164.849
0.597	164.044
0.648	163.167
0.704	162.439
0.752	161.715
0.797	160.970
0.847	160.082
0.902	159.265
0.952	158.165
1.003	157.582
1.051	156.524
1.101	155.597
1.152	154.798
1.204	154.309
1.253	153.422
1.304	152.747
1.349	152.066
1.397	151.329
1.450	150.728
1.503	149.726
1.550	148.888
1.600	147.788
1.650	146.806
1.698	145.714
1.752	144.702
1.803	143.946
1.851	143.026
1.901	142.174
1.951	141.326
1.997	140.542
2.050	139.850
2.103	138.817
2.151	137.766
2.198	136.670
2.247	135.651
2.298	134.785
2.349	133.713
2.399	132.684
2.451	131.888
2.500	131.185
2.552	130.666
2.604	130.034
2.649	129.352
2.698	128.454
2.753	127.524
2.799	126.911
2.847	126.408
2.901	125.884
2.953	125.312
2.998	124.494
3.047	123.909
3.103	122.939
3.150	122.185
3.200	121.573
3.251	121.013
3.299	120.289
3.350	119.635
3.399	118.689
3.450	118.199
3.503	117.493
3.550	117.106
3.598	116.416
3.651	116.121
3.699	115.808
3.752	115.204
3.800	114.684
3.851	114.020
3.902	113.317
3.948	112.809
3.998	112.410
4.053	112.034
4.101	111.500
4.148	110.997
4.200	110.294
4.250	109.717
4.301	109.115
4.352	108.643
4.399	108.232
4.453	107.692
4.500	107.223
4.551	106.766
4.602	106.336
4.651	106.091
4.698	105.593
4.749	105.188
4.799	104.819
4.848	104.432
4.902	104.177
4.948	103.616
4.998	103.361
5.049	103.127
5.099	102.937
5.147	102.565
5.202	101.860
5.251	101.147
5.299	100.522
5.348	99.979
5.397	99.632
5.452	99.519
5.503	99.345
5.551	98.884
5.603	98.615
5.653	98.357
5.704	98.006
5.749	97.681
5.803	97.414
5.847	96.955
5.901	96.530
5.951	96.219
6.003	96.067
6.051	95.526
6.097	95.416
6.151	95.018
6.203	94.581
6.248	94.318
6.298	93.891
6.354	93.884
6.397	93.436
6.453	93.483
6.501	93.136
6.553	92.652
6.597	92.233
6.649	91.744
6.699	91.396
6.751	91.183
6.797	90.785
6.853	90.471
6.904	90.380
6.948	89.992
7.000	89.890
7.053	89.581
7.096	89.326
7.153	89.078
7.197	88.890
7.248	88.632
7.300	88.390
7.347	88.003
7.401	87.658
7.448	87.453
7.499	87.265
7.547	86.979
7.600	86.754
7.653	86.492
7.699	86.176
7.754	86.050
7.804	85.805
7.850	85.723
7.899	85.553
7.946	85.335
8.002	85.032
8.047	84.861
8.101	84.638
8.154	84.379
8.199	84.063
8.247	83.655
8.299	83.573
8.354	83.363
8.396	82.996
8.447	82.751
8.504	82.630
8.548	82.501
8.601	82.441
8.647	82.183
8.702	81.852
8.747	81.657
8.799	81.596
8.852	81.238
8.897	81.074
8.949	80.840
9.004	80.760
9.054	80.505
9.095	80.174
9.149	80.032
9.204	79.768
9.250	79.676
9.297	79.503
9.348	79.258
9.399	79.095
9.450	78.849
9.501	78.668
9.552	78.542
9.598	78.188
9.648	78.107
9.703	77.862
9.748	77.781
9.802	77.638
9.848	77.536
9.903	77.352
9.952	77.120
10.003	77.028
10.049	76.609
10.101	76.528
10.153	76.364
10.203	76.486
10.248	76.272
10.304	75.945
10.349	75.690
10.401	75.561
10.446	75.485
10.496	75.185
10.546	74.992
10.602	75.133
10.652	74.924
10.701	74.779
10.752	74.576
10.804	74.424
10.854	74.171
10.900	74.179
10.954	74.089
11.001	73.916
11.049	73.714
11.100	73.632
11.151	73.340
11.200	73.288
11.250	73.125
11.294	72.977
11.352	72.813
11.403	72.610
11.452	72.581
11.498	72.234
11.548	72.081
11.599	71.907
11.651	71.989
11.699	71.889
11.747	71.604
11.803	71.481
11.846	71.451
11.898	71.267
11.950	71.096
12.001	70.904
12.051	70.894
12.097	70.720
12.145	70.588
12.198	70.425
12.248	70.282
12.299	70.048
12.351	70.066
12.396	69.985
12.452	69.648
12.503	69.587
12.553	69.413
12.598	69.310
12.654	69.218
12.706	69.076
12.752	68.912
12.802	68.891
12.848	68.696
12.896	68.473
12.949	68.483
12.999	68.259
13.051	68.341
13.102	68.248
13.150	67.920
13.202	67.686
13.251	67.647
13.296	67.451
13.351	67.409
13.399	67.497
13.450	67.256
13.496	67.118
13.554	66.872
13.601	66.809
13.650	66.646
13.699	66.462
13.749	66.298
13.797	66.298
13.854	66.207
13.896	66.207
13.948	66.207
13.997	66.103
14.052	66.012
14.100	65.808
14.150	65.738
14.200	65.664
14.254	65.421
14.304	65.411
14.348	65.365
14.402	65.184
14.445	65.120
14.499	65.050
14.554	64.886
14.599	64.804
14.646	64.804
14.702	64.762
14.753	64.588
14.795	64.628
14.846	64.476
14.901	64.404
14.948	64.344
14.997	64.344
15.046	64.170
15.101	64.067
15.148	63.801
15.201	63.648
15.246	63.485
15.304	63.496
15.346	63.482
15.399	63.166
15.448	63.177
15.497	63.166
15.553	63.003
15.603	62.861
15.653	62.729
15.696	62.800
15.753	62.698
15.799	62.677
15.847	62.410
15.900	62.247
15.950	62.329
16.003	62.176
16.050	62.094
16.095	61.960
16.149	61.918
16.195	61.683
16.248	61.804
16.298	61.531
16.351	61.509
16.400	61.520
16.451	61.509
16.498	61.286
16.551	61.286
16.601	61.052
16.646	61.052
16.696	60.806
16.753	60.806
16.796	60.572
16.851	60.572
16.900	60.338
16.945	60.277
16.999	60.196
17.046	60.186
17.096	60.196
17.147	60.186
17.201	60.064
17.254	60.054
17.298	59.915
17.352	59.915
17.401	59.720
17.453	59.710
17.501	59.710
17.545	59.546
17.602	59.546
17.645	59.301
17.703	59.301
17.752	59.272
17.797	59.028
17.851	59.038
17.901	59.038
17.945	58.921
18.004	58.758
18.046	58.740
18.097	58.740
18.148	58.566
18.195	58.566
18.254	58.566
18.297	58.566
18.347	58.343
18.399	58.343
18.452	58.343
18.495	58.108
18.552	58.108
18.601	58.108
18.645	58.108
18.697	58.058
18.749	57.895
18.801	57.824
18.845	57.763
18.904	57.763
18.947	57.529
18.998	57.529
19.047	57.295
19.101	57.060
19.152	57.060
19.203	57.215
19.254	56.999
19.304	56.991
19.347	56.991
19.397	56.828
19.449	56.817
19.504	56.572
19.550	56.582
19.597	56.582
19.647	56.348
19.700	56.335
19.752	56.324
19.801	56.153
19.847	56.153
19.899	56.176
19.954	56.176
20.001	56.176
20.047	56.176
20.104	56.013
20.152	56.013
20.202	55.910
20.249	55.910
20.301	55.985
20.346	55.760
20.399	55.760
20.450	55.714
20.500	55.611
20.551	55.611
20.603	55.295
20.648	55.295
20.703	55.061
20.753	55.061
20.803	54.918
20.851	54.929
20.895	54.929
20.952	54.755
21.001	54.755
21.050	54.674
21.103	54.674
21.152	54.439
21.195	54.439
21.251	54.286
21.302	54.358
21.352	54.358
21.395	54.194
21.452	54.194
21.497	54.194
21.554	53.960
21.604	53.899
21.652	53.899
21.703	53.899
21.745	53.899
21.804	53.899
21.850	53.736
21.895	53.725
21.949	53.725
21.999	53.715
22.045	53.715
22.103	53.715
22.150	53.644
22.201	53.644
22.251	53.409
22.301	53.409
22.354	53.409
22.402	53.165
22.448	53.133
22.499	53.051
22.553	53.020
22.603	52.789
22.647	52.789
22.699	52.789
22.746	52.614
22.803	52.614
22.852	52.430
22.899	52.419
22.951	52.419
23.001	52.274
23.052	52.182
23.099	52.182
23.149	52.089
23.199	52.089
23.251	52.089
23.301	52.089
23.351	52.089
23.402	51.855
23.449	51.824
23.503	51.746
23.554	51.736
23.601	51.736
23.649	51.736
23.700	51.593
23.750	51.462
23.801	51.462
23.845	51.228
23.899	51.207
23.953	51.207
24.002	51.225
24.045	51.225
24.097	51.225
24.151	51.204
24.199	51.214
24.249	50.995
24.300	51.006
24.345	50.950
24.404	50.950
24.447	50.929
24.504	50.848
24.553	50.663
24.604	50.734
24.653	50.734
24.695	50.716
24.749	50.706
24.797	50.472
24.851	50.408
24.897	50.408
24.950	50.326
24.995	50.245
25.045	50.235
25.103	50.235
25.147	50.295
25.203	50.192
25.248	50.118
25.297	50.118
25.348	50.118
25.395	50.118
25.452	50.118
25.498	50.118
25.549	49.884
25.595	49.873
25.653	49.873
25.695	49.873
25.746	49.710
25.795	49.742
25.846	49.742
25.903	49.742
25.951	49.742
25.995	49.508
26.048	49.508
26.099	49.508
26.149	49.273
26.197	49.273
26.248	49.273
26.298	49.163
26.350	49.091
26.401	49.091
26.445	49.091
26.501	48.854
26.549	48.854
26.603	48.854
26.651	48.854
26.702	48.854
26.754	48.610
26.798	48.631
26.845	48.620
26.904	48.620
26.953	48.457
26.995	48.457
27.052	48.457
27.098	48.457
27.147	48.457
27.199	48.467
27.247	48.467
27.304	48.364
27.348	48.364
27.400	48.364
27.450	48.130
27.500	48.130
27.545	48.130
27.594	47.864
27.652	47.864
27.699	47.864
27.750	47.864
27.795	47.864
27.846	47.793
27.899	47.782
27.946	47.711
27.997	47.711
28.046	47.559
28.096	47.570
28.150	47.580
28.202	47.580
28.245	47.580
28.302	47.580
28.351	47.345
28.401	47.406
28.445	47.396
28.498	47.396
28.552	47.161
28.604	47.150
28.646	47.150
28.703	47.140
28.747	47.150
28.804	47.140
28.847	47.094
28.904	47.094
28.949	47.105
29.002	46.961
29.054	46.951
29.095	46.899
29.146	46.899
29.203	46.905
29.246	46.905
29.299	46.905
29.350	46.905
29.402	46.905
29.449	46.671
29.500	46.671
29.552	46.436
29.603	46.436
29.646	46.365
29.703	46.365
29.748	46.365
29.799	46.365
29.854	46.365
29.896	46.365
29.953	46.365
30.000	46.202
30.048	46.202
30.097	46.120
30.145	46.133
30.202	46.133
30.245	45.889
30.297	45.899
30.354	45.889
30.397	45.817
30.454	45.817
30.504	45.817
30.551	45.665
30.602	45.665
30.649	45.665
30.699	45.665
30.747	45.685
30.804	45.685
30.847	45.450
30.904	45.450
30.952	45.450
30.999	45.450
31.052	45.450
31.097	45.450
31.145	45.440
31.199	45.359
31.251	45.359
31.295	45.359
31.345	45.196
31.404	45.196
31.451	45.033
31.500	45.033
31.554	45.033
31.597	44.951
31.647	44.961
31.699	44.951
31.749	44.880
31.803	44.871
31.845	44.861
31.900	44.861
31.953	44.831
32.002	44.861
32.048	44.861
32.100	44.616
32.153	44.616
32.203	44.616
32.246	44.616
32.302	44.418
32.345	44.418
32.395	44.418
32.449	44.418
32.500	44.418
32.545	44.418
32.600	44.418
32.650	44.418
32.700	44.418
32.748	44.418
32.797	44.183
32.854	44.183
32.897	44.183
32.953	44.183
32.995	44.183
33.052	44.183
33.095	43.939
33.152	43.939
33.202	43.939
33.247	43.776
33.302	43.776
33.349	43.786
33.402	43.715
33.452	43.715
33.496	43.715
33.545	43.715
33.598	43.715
33.649	43.715
33.702	43.715
33.746	43.480
33.803	43.480
33.854	43.480
33.897	43.480
33.954	43.480
34.003	43.480
34.046	43.415
34.101	43.401
34.151	43.401
34.201	43.281
34.246	43.281
34.303	43.300
34.346	43.310
34.399	43.300
34.448	43.310
34.502	43.310
34.546	43.310
34.601	43.310
34.654	43.310
34.698	43.076
34.745	43.076
34.798	43.076
34.848	43.076
34.902	43.076
34.949	42.994
35.004	42.971
35.053	42.737
35.095	42.737
35.150	42.695
35.201	42.695
35.250	42.682
35.303	42.611
35.350	42.611
35.401	42.611
35.446	42.611
35.502	42.611
35.545	42.376
35.602	42.376
35.645	42.376
35.703	42.376
35.745	42.376
35.797	42.376
35.854	42.376
35.896	42.376
35.951	42.142
35.998	42.142
36.045	42.213
36.104	42.142
36.152	42.050
36.202	42.050
36.247	42.050
36.302	42.050
36.345	42.050
36.394	42.050
36.453	42.050
36.498	42.050
36.550	41.816
36.602	41.816
36.646	41.826
36.704	41.826
36.746	41.826
36.795	41.826
36.852	41.826
36.901	41.682
36.954	41.692
36.999	41.682
37.045	41.692
37.095	41.692
37.150	41.692
37.195	41.529
37.250	41.529
37.301	41.529
37.350	41.529
37.399	41.295
37.454	41.295
37.499	41.295
37.551	41.347
37.601	41.276
37.651	41.196
37.702	41.196
37.754	41.196
37.803	41.196
37.846	41.196
37.899	41.196
37.952	41.115
38.004	41.115
38.053	40.932
38.099	40.932
38.149	40.943
38.200	40.943
38.252	40.943
38.303	40.943
38.351	40.943
38.402	40.943
38.451	40.943
38.495	40.943
38.546	40.943
38.603	40.861
38.646	40.861
38.702	40.861
38.747	40.870
38.798	40.636
38.849	40.636
38.900	40.636
38.952	40.636
38.999	40.636
39.049	40.564
39.103	40.564
39.150	40.564
39.198	40.554
39.247	40.554
39.296	40.554
39.346	40.554
39.404	40.554
39.454	40.311
39.502	40.311
39.548	40.311
39.600	40.311
39.651	40.311
39.702	40.311
39.746	40.311
39.800	40.301
39.851	40.301
39.903	40.291
39.954	40.291
39.996	40.291
40.053	40.291
40.098	40.167
40.153	40.187
40.198	40.196
40.248	40.196
40.299	40.196
40.350	40.196
40.404	39.962
40.445	39.920
40.501	39.920
40.547	39.911
40.595	39.911
40.654	39.911
40.702	39.829
40.750	39.829
40.801	39.819
40.850	39.809
40.900	39.809
40.952	39.723
41.000	39.723
41.053	39.723
41.104	39.652
41.146	39.652
41.199	39.652
41.251	39.541
41.296	39.541
41.354	39.541
41.396	39.541
41.446	39.541
41.501	39.541
41.551	39.531
41.597	39.531
41.652	39.531
41.700	39.387
41.754	39.387
41.797	39.234
41.851	39.243
41.904	39.243
41.948	39.243
42.001	39.243
42.046	39.243
42.095	39.243
42.152	39.243
42.194	39.243
42.252	39.000
42.297	39.000
42.349	39.000
42.399	39.000
42.445	38.950
42.502	39.000
42.548	38.950
42.600	38.962
42.653	38.972
42.698	38.900
42.749	38.900
42.801	38.900
42.852	38.829
42.898	38.676
42.951	38.594
42.998	38.630
