x	y
0.058	5.716
0.123	18.355
0.174	24.867
0.252	34.308
0.291	41.031
0.369	49.536
0.447	58.684
0.499	64.086
0.563	67.639
0.641	72.576
0.686	76.760
0.758	81.114
0.823	83.338
0.875	83.414
0.952	83.825
1.041	83.857
1.069	83.184
1.160	84.620
1.199	86.002
1.302	86.458
1.330	87.168
1.357	87.679
1.458	89.514
1.510	90.998
1.575	94.011
1.614	96.000
1.691	98.054
1.752	99.696
1.795	100.050
1.873	100.180
1.938	101.132
2.015	102.907
2.054	103.315
2.107	104.028
2.223	104.045
2.236	103.272
2.340	103.130
2.391	104.403
2.462	104.496
2.508	104.007
2.573	103.656
2.625	103.456
2.728	104.441
2.778	105.130
2.832	105.206
2.884	104.907
2.936	104.916
3.027	105.985
3.079	106.971
3.130	107.779
3.173	108.225
3.286	109.800
3.312	110.579
3.377	112.876
3.442	114.536
3.506	115.841
3.571	116.823
3.636	117.934
3.714	119.634
3.779	120.412
3.804	120.602
3.882	121.266
3.947	122.153
4.025	122.443
4.090	122.443
4.168	123.069
4.206	123.700
4.232	123.990
4.336	125.727
4.401	127.095
4.453	128.060
4.554	128.402
4.595	128.635
4.712	128.957
4.751	128.653
4.855	128.762
4.881	128.858
4.971	129.925
5.049	130.912
5.062	131.074
5.146	132.012
5.205	132.319
5.334	132.595
5.423	132.576
5.503	131.798
5.580	131.520
5.671	132.009
5.762	131.548
5.817	131.211
5.892	131.102
5.944	131.102
6.009	131.178
6.047	131.512
6.094	131.947
6.190	132.066
6.242	132.436
6.307	133.001
6.370	133.673
6.449	133.040
6.514	132.120
6.579	131.712
6.646	131.631
6.773	131.631
6.825	131.731
6.955	131.731
7.001	131.680
7.111	131.191
7.238	131.348
7.383	130.850
7.499	131.048
7.554	131.472
7.629	132.153
7.694	132.908
7.830	132.953
7.888	132.713
7.988	132.012
8.044	132.072
8.109	132.413
8.174	132.753
8.264	133.341
8.290	133.434
8.381	133.775
8.472	134.115
8.580	134.337
8.627	134.315
8.731	134.115
8.835	133.575
8.939	133.308
9.014	133.094
9.081	132.753
9.172	132.413
9.211	132.072
9.289	132.713
9.370	132.676
9.405	132.413
9.509	132.953
9.678	132.113
9.768	132.072
9.843	132.144
9.924	132.072
10.066	132.072
10.118	131.731
10.235	132.072
10.287	132.072
10.356	132.344
10.455	132.413
10.585	132.513
10.650	132.713
10.712	133.413
10.857	133.953
10.961	134.641
11.065	134.496
11.146	134.137
11.259	134.115
11.350	134.256
11.428	133.915
11.540	133.937
11.622	134.796
11.713	134.669
11.817	134.796
11.894	135.137
11.959	135.333
12.014	135.137
12.076	135.478
12.172	136.661
12.283	136.499
12.335	136.218
12.409	136.329
12.478	136.880
12.530	136.840
12.595	136.840
12.685	136.661
12.758	136.840
12.843	138.321
12.971	137.380
13.080	138.802
13.113	139.485
13.198	139.317
13.269	138.883
13.396	139.017
13.437	139.281
13.514	140.586
13.580	141.267
13.645	141.508
13.723	142.329
13.800	143.611
13.830	143.934
13.917	143.992
14.027	146.094
14.086	146.958
14.137	147.997
14.224	148.019
14.254	147.019
14.332	146.716
14.422	147.057
14.462	147.619
14.552	145.013
14.565	145.354
14.643	145.354
14.698	144.909
14.786	144.630
14.837	144.327
14.928	142.970
14.941	142.791
15.014	142.000
15.032	142.582
15.123	144.327
15.172	144.962
15.291	143.634
15.330	143.164
15.408	144.036
15.487	142.638
15.563	142.582
15.628	144.036
15.724	143.302
15.797	143.364
15.882	143.966
15.965	143.455
16.017	142.582
16.079	141.642
16.147	141.128
16.199	140.437
16.237	140.014
16.315	141.337
16.395	140.646
16.445	139.965
16.562	138.801
16.691	137.729
16.790	136.329
16.860	136.965
16.912	137.338
17.003	135.965
17.016	135.974
17.080	135.893
17.145	135.893
17.249	138.656
17.343	141.310
17.417	140.255
17.461	139.317
17.560	139.874
17.638	141.419
17.703	142.873
17.777	143.966
17.832	143.055
17.895	142.306
17.949	142.490
18.014	143.255
