x	y
3.760	313.042
4.102	316.089
4.443	316.154
4.785	316.977
5.127	316.217
5.469	317.805
5.811	320.822
6.152	322.454
6.494	322.832
6.836	323.038
7.178	326.078
7.519	325.520
7.861	325.588
8.203	326.140
8.545	326.105
8.887	326.374
9.228	326.749
9.570	327.135
9.912	326.881
10.254	326.570
10.596	327.935
10.937	328.333
11.279	327.193
11.621	326.061
11.963	324.900
12.305	325.241
12.646	325.613
12.988	326.173
13.330	326.192
13.672	323.299
14.014	320.703
14.355	319.808
14.697	319.808
15.039	318.005
15.381	316.116
15.723	315.806
16.064	315.431
16.406	314.857
16.748	314.420
17.090	314.391
17.432	314.985
17.773	314.970
18.115	315.048
18.457	313.836
18.799	312.112
19.141	311.080
19.482	309.279
19.824	308.564
20.166	308.447
20.508	308.327
20.849	308.465
21.191	308.873
21.533	308.601
21.875	308.273
22.217	307.998
22.558	308.198
22.900	308.269
23.242	309.047
23.584	309.519
23.926	310.471
24.267	310.289
24.609	310.611
24.951	311.638
25.293	312.604
25.635	313.209
25.976	314.048
26.318	313.578
26.660	313.351
27.002	316.228
27.344	315.912
27.685	316.699
28.027	314.803
28.369	313.175
28.711	313.477
29.053	309.539
29.394	307.621
29.736	305.826
30.078	304.876
30.420	304.769
30.762	306.088
31.103	306.982
31.445	302.802
31.787	301.187
32.129	299.236
32.471	296.641
32.812	297.938
33.154	297.974
33.496	296.181
33.838	295.822
34.179	296.330
34.521	293.907
34.863	293.007
35.205	293.594
35.547	292.893
35.888	292.181
36.230	292.068
36.572	290.631
36.914	289.672
37.256	289.525
37.597	290.154
37.939	289.976
38.281	288.704
38.623	287.942
38.965	287.904
39.306	288.068
39.648	286.195
39.990	285.537
40.332	286.480
40.674	285.940
41.015	285.302
41.357	284.195
41.699	283.635
42.041	282.810
42.383	282.761
42.724	283.071
43.066	282.165
43.408	282.812
43.750	283.770
44.092	284.916
44.433	286.660
44.775	287.964
45.117	290.883
45.459	294.174
45.801	292.404
46.142	291.403
46.484	290.880
46.826	293.319
47.168	294.088
47.510	295.317
47.851	302.771
48.193	295.039
48.535	299.834
48.877	294.497
49.218	292.736
49.560	291.582
49.902	289.509
50.244	288.579
50.586	290.378
50.927	295.171
51.269	299.369
51.611	300.170
