x	y
0.3   60.39
0.8   95.205
1.2   125.67
2.1   167.526
2.8   195.   
3.76   293.98
4.102   294.22
4.443   294.78
4.785   295.16
5.127   295.58
5.469   295.96
5.811   293.38
6.152   293.38
6.494   294.78
6.836   295.48
7.178   296.04
7.519   295.459
7.861   295.599
8.203   295.139
8.545   295.279
8.887   295.019
9.228   295.299
9.57   294.439
9.912   294.32
10.254   293.2
10.596   293.06
10.937   292.8
11.279   292.38
11.621   291.98
11.963   291.58
12.305   291.18
12.646   290.78
12.988   290.38
13.33   289.98
13.672   288.58
14.014   287.18
14.355   286.781
14.697   285.981
15.039   284.181
15.381   277.381
15.723   277.181
16.064   272.982
16.406   271.582
16.748   270.182
17.09   268.782
17.432   267.382
17.773   265.982
18.115   264.842
18.457   263.862
18.799   264.022
19.141   263.462
19.482   262.902
19.824   261.342
20.166   260.202
20.508   259.782
20.849   258.642
21.191   257.082
21.533   256.663
21.875   255.243
22.217   254.543
22.558   253.403
22.9   252.263
23.242   251.843
23.584   250.003
23.926   250.583
24.267   250.443
24.609   250.463
24.951   250.043
25.293   249.803
25.635   249.243
25.976   249.003
26.318   248.183
26.66   247.043
27.002   246.383
27.344   245.984
27.685   244.584
28.027   242.184
28.369   240.784
28.711   236.384
29.053   230.984
29.394   226.584
29.736   222.184
30.078   220.784
30.42   221.384
30.762   222.984
31.103   222.185
31.445   222.385
31.787   222.585
32.129   221.185
32.471   219.785
32.812   218.385
33.154   216.985
33.496   215.586
33.838   214.186
34.179   212.786
34.521   211.386
34.863   209.986
35.205   208.586
35.547   207.186
35.888   205.786
36.23   204.386
36.572   202.986
36.914   201.586
37.256   200.187
37.597   198.787
37.939   197.387
38.281   195.987
38.623   194.587
38.965   193.187
39.306   191.787
39.648   190.387
39.99   188.987
40.332   187.587
40.674   186.188
41.015   184.788
41.357   183.388
41.699   181.988
42.041   180.588
42.383   180.588
42.724   179.188
43.066   177.788
43.408   177.508
43.75   176.808
44.092   174.388
44.433   174.108
44.775   173.988
45.117   173.568
45.459   173.588
45.801   173.028
46.142   172.468
46.484   172.188
46.826   171.628
47.168   170.929
47.51   169.509
47.851   169.369
48.193   169.229
48.535   169.089
48.877   168.809
49.218   168.389
49.56   168.249
49.902   168.109
50.244   168.409
50.586   167.589
50.927   167.189
51.269   166.789
51.611   166.389
