x	y
0.263	10.525
0.847	36.279
1.848	72.457
2.432	106.796
2.933	131.937
3.767	156.464
4.101	177.926
4.519	187.124
4.852	195.095
5.270	203.067
5.603	207.972
6.021	215.944
6.354	223.302
6.772	228.208
7.189	230.660
7.523	233.726
7.940	237.405
8.274	242.311
8.691	244.764
9.025	248.443
9.442	250.896
9.776	252.122
10.193	252.122
10.527	252.122
10.944	250.896
11.278	250.896
11.695	250.282
12.029	249.056
12.446	247.830
12.780	245.990
13.197	243.537
13.615	241.698
13.948	239.858
14.366	238.019
14.783	235.566
15.117	232.500
15.451	230.047
15.868	227.594
16.285	224.528
16.619	220.849
16.953	218.397
17.370	215.944
17.704	213.491
18.121	211.651
18.455	209.199
18.872	206.133
19.289	203.680
19.623	201.227
20.040	199.388
20.374	198.161
20.791	195.708
21.125	193.869
21.542	192.642
21.960	190.190
22.294	188.963
22.711	187.124
23.045	184.671
23.462	183.445
23.796	181.605
24.213	180.379
24.547	178.539
24.964	177.926
25.298	175.473
25.715	174.860
26.049	173.634
26.466	171.794
26.800	170.568
27.217	169.341
27.634	168.115
27.968	166.275
28.385	166.275
28.719	163.823
29.136	162.596
29.470	161.983
29.888	160.757
30.221	159.530
30.639	158.917
30.972	157.077
31.390	155.851
31.807	155.238
32.141	154.011
32.475	152.785
32.892	150.946
33.309	150.332
33.643	149.719
34.060	149.106
34.394	147.266
34.811	147.266
35.145	146.040
35.562	145.427
35.896	144.814
36.313	144.200
36.731	141.748
37.064	141.748
37.482	141.134
37.815	139.908
38.233	139.908
38.566	138.682
38.984	137.455
39.317	136.842
39.735	136.229
40.069	135.616
40.486	134.389
40.820	133.776
41.237	133.163
41.571	132.550
41.988	132.550
42.405	131.323
42.739	130.710
43.156	130.710
43.490	129.484
43.824	129.484
44.241	128.257
44.658	127.644
44.992	127.644
45.409	127.031
45.743	125.805
46.160	125.191
46.578	124.578
46.911	123.965
47.329	123.352
47.663	123.352
48.080	122.126
48.414	122.126
48.831	121.512
49.165	120.899
49.582	120.899
49.916	120.286
50.333	119.673
50.667	119.673
51.084	118.446
51.418	117.833
51.835	117.833
52.252	117.220
52.586	116.607
52.920	116.607
53.337	115.994
53.754	115.994
54.088	115.380
54.506	114.767
54.923	114.154
55.257	114.154
55.674	113.541
56.008	112.928
56.341	112.928
56.759	111.701
57.176	111.701
