x	y
0.332	14.446
0.459	45.117
0.713	65.917
0.904	71.558
1.159	72.615
1.350	70.853
1.604	68.032
1.795	65.565
2.050	61.687
2.304	58.866
2.495	56.398
2.686	54.636
2.941	50.053
3.132	48.290
3.386	46.175
3.641	44.059
3.895	42.649
4.532	39.476
5.168	36.656
5.805	34.188
6.505	32.425
7.141	30.663
7.841	29.253
8.478	27.842
9.178	26.785
9.814	26.080
10.514	25.022
11.151	23.964
11.851	23.612
12.487	22.907
13.187	22.202
13.887	21.849
14.523	21.497
15.160	21.144
15.860	20.791
16.496	20.086
17.196	19.734
17.833	19.029
18.533	19.029
19.233	18.676
19.869	18.324
20.506	18.324
21.206	17.971
21.778	17.619
22.542	17.266
23.179	16.913
23.815	16.561
24.515	16.502
25.151	16.208
25.851	16.208
26.552	15.856
27.251	15.856
27.888	15.856
28.524	15.503
29.161	15.151
29.846	15.001
30.070	15.001
30.226	15.001
30.744	14.632
31.416	14.632
31.660	14.456
32.049	14.280
32.532	14.280
32.945	14.280
33.200	14.280
33.411	13.911
33.676	13.911
33.886	13.911
34.097	13.895
34.288	13.895
34.532	13.895
34.731	13.895
34.993	13.895
35.213	13.895
35.402	13.711
35.633	13.711
35.865	13.527
36.100	13.527
36.298	13.527
36.560	13.527
36.756	13.535
36.931	13.559
37.220	13.559
37.440	13.559
37.626	13.383
37.886	13.383
38.085	13.383
38.318	13.199
38.548	13.199
38.766	13.199
38.963	13.199
39.187	13.199
39.417	13.015
39.672	13.015
39.862	12.716
40.094	12.716
40.317	12.716
40.506	12.662
40.728	12.478
40.973	12.478
41.209	12.478
41.411	12.478
41.651	12.478
41.866	12.478
42.052	12.478
42.272	12.302
42.552	12.302
42.763	12.302
42.950	12.310
43.235	12.310
43.422	12.126
43.621	12.133
43.905	11.950
44.062	11.868
44.347	11.684
