x	y
0.752	149.032
0.961	161.013
1.241	166.298
1.451	174.403
1.731	180.041
1.941	183.917
2.221	190.260
2.500	195.546
2.710	200.126
2.920	204.003
3.200	206.469
3.410	206.822
3.690	203.650
3.969	199.422
4.249	196.250
4.949	196.250
5.648	204.355
6.348	207.879
7.117	207.879
7.817	208.231
8.586	209.641
9.286	208.584
10.055	208.584
10.755	209.288
11.524	209.993
12.224	211.755
12.993	210.698
13.693	208.231
14.463	209.993
15.232	209.288
15.932	204.707
16.631	199.422
17.401	200.831
18.100	204.355
18.870	203.298
19.569	199.069
20.339	195.193
21.108	195.546
21.808	196.955
22.507	198.717
23.277	198.012
23.906	201.888
24.746	199.774
25.445	199.422
26.145	205.060
26.914	199.422
27.614	197.307
28.383	191.317
29.153	192.022
29.922	194.488
30.622	193.431
31.321	190.965
32.021	187.793
32.774	187.356
33.020	190.992
33.192	194.237
33.761	194.605
34.500	191.552
34.768	191.544
35.196	187.173
35.727	188.577
36.181	190.418
36.461	190.242
36.693	187.373
36.984	188.769
37.215	186.175
37.447	180.038
37.657	175.566
37.925	174.223
38.144	171.531
38.432	173.994
38.674	176.940
38.881	178.765
39.135	182.079
39.390	183.905
39.648	183.905
39.866	184.457
40.154	184.641
40.370	185.546
40.562	187.049
40.879	187.785
41.121	189.058
41.326	190.547
41.612	192.065
41.830	193.468
42.086	193.653
42.339	192.732
42.579	191.512
42.795	189.925
43.042	189.280
43.295	185.890
43.575	187.424
43.784	187.424
44.039	176.773
44.284	175.669
44.492	165.833
44.735	167.674
45.005	159.589
45.264	162.097
45.486	176.442
45.750	163.624
45.986	160.248
46.191	158.860
46.433	160.739
46.740	161.852
46.972	164.997
47.178	166.255
47.491	166.439
47.697	166.439
47.916	168.096
48.228	167.421
48.400	169.799
48.713	170.879
