x	y
0.423	64.313
0.97	192.695
1.516	321.429
2.063	414.797
2.61	462.81
3.102	479.977
3.648	503.22667
4.14	513.018
4.687	510.278
5.233	517.748
5.78	521.36267
6.327	520.741
7.42	519.317
8.513	516.111
9.607	508.334
10.645	501.782
11.684	499.467
12.777	495.033
13.925	488.483
14.909	478.6027
15.948	469.073
17.041	463.368
18.189	460.674
19.282	464.712
20.321	466.587
21.469	467.28
22.453	470.048
23.655	468.579
24.53	465.417
25.678	461.831
26.771	463.795
27.919	466.138
28.903	465.51
29.942	467.436
31.035	464.697
32.183	460.91
33.112	490.527
34.26	490.52
35.299	495.188
36.447	502.81
