x	y
0.189	34.729
0.334	42.204
0.498	52.881
0.643	58.220
0.843	64.092
0.989	67.830
1.170	71.033
1.316	75.838
1.479	79.575
1.643	83.312
1.806	87.583
1.952	91.854
2.134	95.057
2.297	100.930
2.461	103.066
2.624	105.201
2.770	105.735
2.951	110.006
3.115	112.675
3.279	115.879
3.442	121.217
3.606	120.684
3.769	121.751
3.933	129.226
4.096	122.285
4.242	117.480
4.423	111.608
4.587	110.540
4.732	113.743
4.914	113.743
5.078	105.735
5.241	104.667
5.405	103.066
5.568	100.930
5.732	104.667
5.896	108.404
6.041	121.217
6.223	125.489
6.386	120.200
6.550	114.277
6.695	108.404
6.877	99.991
