x	y
0.000	0.000
0.028	0.000
0.086	0.000
0.125	0.000
0.163	0.000
0.202	0.000
0.260	0.000
0.279	0.000
0.317	0.000
0.356	0.000
0.394	0.000
0.433	0.000
0.491	0.000
0.606	0.000
0.703	0.000
0.799	0.000
0.854	0.000
0.876	0.000
0.953	0.000
1.049	0.000
1.126	0.000
1.203	0.000
1.281	0.000
1.377	0.000
1.473	0.000
1.550	0.000
1.666	0.000
1.781	0.000
1.916	0.000
2.013	0.000
2.109	0.000
2.205	0.924
3.091	0.459
3.978	0.459
4.883	0.459
5.769	0.459
6.675	0.000
7.561	6.962
8.447	17.180
9.333	26.005
10.219	32.972
11.105	35.759
12.011	43.191
12.897	46.442
13.783	49.693
14.669	49.229
15.555	47.371
16.442	45.513
