x	y
0.364	29.112
0.666	23.963
0.886	26.859
1.160	30.078
1.435	35.871
1.710	35.549
1.984	37.802
2.259	41.664
2.534	44.561
2.781	49.066
3.056	53.250
3.303	54.538
3.577	55.503
3.852	57.756
4.127	60.653
4.374	64.515
4.649	71.917
4.923	76.744
5.198	78.675
5.445	76.101
5.747	72.882
5.995	71.273
6.242	72.239
6.517	80.928
6.791	82.538
7.066	88.652
7.313	92.515
7.588	97.020
7.835	100.239
8.110	103.779
8.412	104.423
8.659	106.354
8.906	107.641
9.208	105.388
9.456	105.710
9.758	108.606
10.005	111.825
10.252	110.216
10.527	108.928
10.801	110.859
11.049	109.572
11.323	110.537
11.571	111.181
11.845	112.790
12.147	113.434
12.395	113.756
12.642	113.112
12.944	113.756
