x	y
0.570	7.000
0.730	9.000
0.860	11.000
0.990	14.000
1.030	15.000
1.260	17.000
1.360	18.000
1.520	19.000
1.660	21.000
1.790	22.000
1.920	23.000
2.050	24.000
2.180	25.000
2.330	26.000
2.460	27.000
2.600	28.000
2.720	28.000
2.820	28.000
3.000	29.000
3.120	29.000
3.260	29.000
3.400	30.000
3.520	30.000
3.640	31.000
3.800	31.000
3.900	31.000
4.050	31.000
4.150	31.000
4.310	31.000
4.410	31.000
4.560	32.000
4.700	32.000
4.800	32.000
4.910	32.000
5.050	33.000
5.200	33.000
5.300	33.000
5.450	33.000
5.590	33.000
5.700	33.000
5.830	33.000
6.000	33.000
6.130	33.000
6.200	33.000
6.350	33.000
6.500	33.000
6.630	33.500
6.750	34.000
6.850	34.500
7.050	35.000
7.160	35.000
7.250	35.000
7.390	35.000
7.500	35.000
7.620	35.000
7.800	35.000
7.900	35.500
8.000	36.000
8.150	36.000
8.300	36.000
8.410	36.000
8.540	36.000
8.700	36.000
8.850	36.000
8.920	36.000
9.100	36.500
9.302	36.000
9.421	36.000
9.553	36.000
9.685	36.000
9.818	36.500
9.950	37.000
10.082	37.500
10.228	37.500
10.347	37.500
10.479	37.500
10.612	37.500
10.744	37.500
10.876	37.500
11.009	37.500
11.154	37.500
11.286	37.500
11.432	37.500
11.564	37.500
11.670	37.500
11.816	37.500
11.935	38.000
12.080	38.000
12.213	38.000
12.345	38.000
12.477	38.000
12.610	38.000
12.755	38.500
12.888	38.500
13.007	38.500
