x	y
0.570	0.000
0.730	0.000
0.860	0.000
0.990	0.000
1.030	1.000
1.260	5.000
1.360	6.000
1.520	7.000
1.660	6.000
1.790	5.000
1.920	6.000
2.050	7.000
2.180	8.000
2.330	9.000
2.460	11.000
2.600	12.000
2.720	12.000
2.820	11.000
3.000	11.000
3.120	11.000
3.260	11.000
3.400	9.000
3.520	8.000
3.640	9.000
3.800	9.000
3.900	9.000
4.050	11.000
4.150	12.000
4.310	14.000
4.410	15.000
4.560	16.000
4.700	17.000
4.800	16.000
4.910	15.000
5.050	13.000
5.200	14.000
5.300	14.000
5.450	14.000
5.590	13.000
5.700	12.000
5.830	12.000
6.000	13.000
6.130	14.000
6.200	13.000
6.350	12.000
6.500	11.000
6.630	13.000
6.750	15.000
6.850	16.000
7.050	19.000
7.160	21.000
7.250	21.600
7.390	22.000
7.500	23.600
7.620	24.000
7.800	24.600
7.900	24.600
8.000	24.500
8.150	24.300
8.300	24.000
8.410	23.000
8.540	24.000
8.700	24.000
8.850	24.500
8.920	26.000
9.100	26.500
9.302	27.000
9.421	27.200
9.553	28.128
9.685	29.000
9.818	30.733
9.950	30.733
10.082	30.733
10.228	31.200
10.347	32.500
10.479	33.000
10.612	34.000
10.744	35.000
10.876	36.000
11.009	37.000
11.154	38.000
11.286	39.000
11.432	39.751
11.564	40.453
11.670	41.000
11.816	42.557
11.935	43.058
12.080	44.000
12.213	44.600
12.345	45.262
12.477	45.964
12.610	46.766
12.755	47.066
12.888	47.567
13.007	48.000
