x	y
0.570	37.000
0.730	34.000
0.860	32.000
0.990	32.000
1.030	32.500
1.260	37.000
1.360	38.000
1.520	39.000
1.660	41.000
1.790	42.000
1.920	41.000
2.050	39.000
2.180	41.000
2.330	42.000
2.460	45.000
2.600	47.000
2.720	49.000
2.820	52.000
3.000	54.000
3.120	56.000
3.260	57.000
3.400	58.000
3.520	59.500
3.640	59.000
3.800	61.000
3.900	62.000
4.050	64.000
4.150	65.000
4.310	67.500
4.410	68.000
4.560	71.000
4.700	75.600
4.800	78.400
4.910	81.000
5.050	83.400
5.200	86.000
5.300	85.000
5.450	87.000
5.590	82.000
5.700	82.500
5.830	82.000
6.000	81.400
6.130	79.400
6.200	79.000
6.350	81.000
6.500	87.000
6.630	87.000
6.750	86.000
6.850	88.000
7.050	92.000
7.160	94.000
7.250	96.000
7.390	97.600
7.500	99.000
7.620	101.000
7.800	105.000
7.900	106.000
8.000	105.000
8.150	108.000
8.300	111.000
8.410	111.500
8.540	112.000
8.700	113.000
8.850	114.000
8.920	115.000
9.100	116.000
9.302	113.400
9.421	113.400
9.553	113.901
9.685	114.903
9.818	116.406
9.950	117.408
10.082	116.907
10.228	115.404
10.347	115.304
10.479	114.903
10.612	116.606
10.744	116.606
10.876	115.304
11.009	114.903
11.154	115.504
11.286	115.905
11.432	116.606
11.564	116.807
11.670	116.907
11.816	118.310
11.935	118.410
12.080	118.811
12.213	119.512
12.345	119.913
12.477	119.713
12.610	119.913
12.755	120.414
12.888	121.917
13.007	121.917
